Name;Wikipedia;m/w;Bereich;GSR;id;Twitter Verifiziert?;verified;followers_count;degree;betweenness;contribution_index;sentiment_avg;emotionality_avg;ego_art;ego_nudges;alter_art;alter_nudges;complexity_avg;betweenness_oscillation;Wikipedia_name;Backlinks;Links;Awards;Publications;Wikipedia_score_x;GSR_score;Wikipedia_score_y;Sentiment_score;Twitter_score;Thoughtleader_Score;class_labels
Aaron Troschke;Aaron Troschke;0.0;0.0;2130;Aaron_Troschke;ja;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Aaron Troschke;61.0;99.0;0.0;3.0;715.0;0.012428241699710008;0.10120311394196745;0.15860232526704263;0.006805926183313118;0.0697599017730083;0
Alice Schwarzer;Alice Schwarzer;0.0;0.0;13200;_AliceSchwarzer;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Alice Schwarzer;628.0;242.0;0.0;2.0;1240.0;0.07794283008818133;0.17551309271054494;0.15430917097591015;0.0029954668325967346;0.10269014015180829;0
Aline Wanner;0;0.0;0.0;1810;aline_wanner;0;0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.01053441439308753;0.0;0.16098623035225812;0.0;0.04288016118633641;0
Andres Veiel;Andres Veiel;0.0;0.0;2010;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Andres Veiel;157.0;151.0;0.0;1.0;493.0;0.011718056459726579;0.06978060863411181;0.0;0.0;0.0203746662734596;0
Anne Siemens;Anne Siemens;0.0;0.0;145;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Anne Siemens;24.0;34.0;0.0;0.0;58.0;0.0006805941883174529;0.008209483368719038;0.1;0.0;0.027222519389259126;0
Anne Will;Anne Will;0.0;0.0;101000;annewill;ja;1;74289.0;21.852.459.016.393.400;12.488.577.318.856.000;-0.05483606557377048;0.47663724394203116;0.2269884377443183;7.135.648.349.796.450;13.016.314.177.677.500;6.795.288.106.461.860;1.317.538.675.110.210;8.596.802.810.707.110;17.966.101.694.915.200;Anne Will;227.0;89.0;0.0;0.0;316.0;0.5975616973427236;0.04472753007784855;0.12681580784320415;0.08079839046241297;0.21247585643154732;1
Annika Brockschmidt;Annika Brockschmidt;0.0;0.0;528;ardenthistorian;0;0;42557.0;4.552.777.777.777.770;9.192.521.529.985.990;-0.6650000000000001;0.3913409650384261;0.2414919566465665;37.914.353.704.365.000;12.587.856.974.204.300;6.373.307.839.988.420;14.504.575.977.722.800;8.993.756.325.309.750;0.4375;Annika Brockschmidt;5.0;57.0;0.0;1.0;247.0;0.0029472687459312303;0.03496107572540694;0.1315214945738148;0.38575613337981857;0.13879649310624287;1
Axel Honneth;Axel Honneth;0.0;0.0;22500;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Axel Honneth;163.0;52.0;0.0;4.0;955.0;0.13298218618689708;0.13517338995046002;0.16954517111050765;0.0;0.10942518681196618;1
Benedikt XVI.;Benedikt XVI.;0.0;0.0;51200;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Benedikt XVI.;6324.0;741.0;0.0;0.0;7065.0;0.3028348227496005;1.0;0.0;0.0;0.3257087056874001;1
Bernhard Waldenfels;Bernhard Waldenfels;0.0;0.0;1410;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Bernhard Waldenfels;81.0;58.0;1.0;0.0;324.0;0.008167130259809434;0.045859872611464965;0.16219089023002067;0.0;0.05405447327532377;0
Carina Kontio;0;0.0;0.0;313;enormgruen;0;0;5940.0;03. Jun;5.186.666.666.666.660;-0.732;0.5196090117096901;0.2223232463002205;0.0;0.0;0.0;1.0;9.328.837.394.714.350;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0016748535242942534;0.0;0.17058823529411765;0.0;0.043065772204602976;0
Christian Drosten;Christian Drosten;0.0;0.0;93500;c_drosten;ja;1;763314.0;1.163.855.421.686.740;34.885.653.610.111.400;-0.24819277108433732;0.43737353472102125;0.24911848697063363;8.118.458.993.759.480;12.896.073.709.599.400;8.764.242.176.084.470;12.964.771.863.532.300;825.755.052.211.181;16.835.443.037.974.600;Christian Drosten;207.0;135.0;0.0;9.0;2007.0;0.5531751198437592;0.2840764331210191;0.15421688721365392;0.31920521824871434;0.32766841460678664;1
Christian Walther;Christian Walther (Journalist);0.0;0.0;1780;ChristianWalth2;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Christian Walther (Journalist);8.0;40.0;0.0;0.0;48.0;0.010356868083091672;0.006794055201698514;0.16385984819485622;0.00811229811327927;0.047280767398231414;0
Christoph Keller;Christoph Keller (Schriftsteller);0.0;0.0;5600;christophbk;0;0;280.0;5.285.714.285.714.280;8.650.344.827.586.200;-0.0016748768472906405;0.6658992633066021;0.24689432209878598;10.159.304.915.804.200;12.006.691.592.970.700;8.281.095.385.106.230;12.186.691.903.120.600;8.241.256.822.343.070;14.170.854.271.356.700;Christoph Keller (Schriftsteller);25.0;39.0;0.0;4.0;804.0;0.0329644315558975;0.11380042462845011;0.1681568542494924;0.004267523471221659;0.07979730847626541;0
Clemens Fuest;Clemens Fuest;0.0;0.0;10200;FuestClemens;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Clemens Fuest;59.0;61.0;0.0;1.0;305.0;0.06018819908859561;0.043170559094125975;0.16599702359561497;0.1250209072572443;0.0985941722588952;0
Deniz Utlu;Deniz Utlu;0.0;0.0;837;DenizUtlu;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Deniz Utlu;23.0;23.0;2.0;1.0;601.0;0.0047759957388885605;0.08506723283793348;0.18819374388453428;0.014526114539415484;0.07314077175019296;0
Frank Thelen;Frank Thelen;0.0;0.0;20500;frank_thelen;ja;1;56064.0;31.610.526.315.789.400;2.388.456.504.139.130;-0.03452631578947368;0.5606817200660651;0.23377777302884767;4.846.788.773.894.860;12.822.073.896.725.900;5.823.216.073.215.350;13.178.446.927.378.200;8.617.130.507.862.150;1.989.010.989.010.980;Frank Thelen;67.0;52.0;0.0;2.0;489.0;0.1211457655205066;0.06921443736730361;0.17994745800907175;0.11937562376412593;0.12242082116525196;1
Günther Jauch;Günther Jauch;0.0;0.0;44400;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Günther Jauch;478.0;245.0;0.0;1.0;908.0;0.26259099248387285;0.12852087756546354;0.13080507498762858;0.0;0.13047923625924124;1
Hans-Werner Sinn;Hans-Werner Sinn;0.0;0.0;7980;HansWernerSinn;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Hans-Werner Sinn;290.0;203.0;0.0;1.0;678.0;0.04704977214890217;0.09596602972399151;0.17732441035371088;0.01479856596733927;0.08378469454848596;0
Heike Behrend;Heike Behrend;0.0;0.0;1910;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Heike Behrend;32.0;67.0;0.0;2.0;469.0;0.011126235426407054;0.06638358103326256;0.1635213633723318;0.0;0.060257794958000356;0
Herta Müller;Herta Müller;0.0;0.0;15800;hertamueller;0;0;767.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Herta Müller;544.0;433.0;1.0;0.0;1162.0;0.09333017695448896;0.16447275300778486;0.17045181273873128;0.0;0.10706368567525128;0
Isabella Eckerle;Isabella Eckerle;0.0;0.0;2590;EckerleIsabella;ja;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Isabella Eckerle;15.0;54.0;0.0;0.0;69.0;0.01515061845297982;0.009766454352441613;0.172154813869165;0.18388564036985708;0.09523938176111088;0
Jan Böhmermann;Jan Böhmermann;0.0;0.0;54200;janboehm;ja;1;2320263.0;13.670.731.707.317.000;18.530.431.180.369.100;-0.7779268292682927;0.4383592022645437;0.21912060957250382;25.217.790.527.534.100;11.694.605.538.719.500;7.024.939.900.173.610;11.998.344.033.956.500;8.730.780.759.801.350;0.23076923076923078;Jan Böhmermann;455.0;209.0;0.0;5.0;1589.0;0.32058945374918624;0.2249115357395612;0.16495054794189873;1.0;0.42761288435766154;1
Joko Winterscheidt;Joko Winterscheidt;0.0;0.0;12800;officiallyjoko;ja;1;2154505.0;8.215.686.274.509.800;9.574.929.971.988.790;-0.09113725490196076;0.5662020486017126;0.24407686669809217;816.000.201.811.889;11.942.401.671.552.800;11.916.149.860.920.500;12.961.629.466.831.400;9.016.178.689.225.110;18.685.258.964.143.400;Joko Winterscheidt;198.0;150.0;2.0;5.0;1643.0;0.07557554595490323;0.23255484784147204;0.16873753918861983;0.8637192173387156;0.3351467875809277;1
Joyce Ilg;Joyce Ilg;0.0;0.0;5730;JoyceIlg;ja;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Joyce Ilg;95.0;116.0;0.0;0.0;211.0;0.03373379889921288;0.02986553432413305;0.0;0.13535024327381776;0.04973739412429092;0
Kai Diekmann;Kai Diekmann;0.0;0.0;3640;KaiDiekmann;ja;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Kai Diekmann;216.0;154.0;0.0;0.0;370.0;0.021364739302834824;0.052370842179759375;0.1708518115865107;0.3288832908188134;0.14336767097197956;1
Karl Lauterbach;Karl Lauterbach;0.0;0.0;77400;Karl_Lauterbach;ja;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Karl Lauterbach;213.0;121.0;0.0;5.0;1259.0;0.45789193347931584;0.17820240622788394;0.15404419449998738;0.24551049713538428;0.25891225783564287;1
Kathrin Passig;Kathrin Passig;0.0;0.0;1090;kathrinpassig;ja;1;34980.0;33.340.425.531.914.800;475.210.268.490.375;-0.06744680851063826;0.39030740193001756;0.22657940790764677;32.611.893.593.884.500;12.872.097.635.453.900;2.877.029.445.251.930;13.275.449.844.293.800;905.136.440.685.304;17.906.976.744.186.000;Kathrin Passig;105.0;56.0;0.0;2.0;531.0;0.006273302953186956;0.0751592356687898;0.1599580992435478;0.2052924367332481;0.11167076864969316;1
Klaas Heufer-Umlauf;Klaas Heufer-Umlauf;0.0;0.0;17400;damitdasklaas;ja;1;1861283.0;8.673.267.326.732.670;3.726.892.130.284.450;-0.400990099009901;0.4958072706753309;0.225954555486448;8.167.351.249.519.720;1.262.301.177.030.700;1.011.230.844.888.880;1.295.316.900.730.130;8.957.240.171.387.930;11.414.141.414.141.400;Klaas Heufer-Umlauf;218.0;218.0;2.0;0.0;806.0;0.10279931348760135;0.1140835102618542;0.15637693143733303;0.757818378484514;0.2827695334178256;1
