Name;m/w;Bereich;Wikipedia;id;Twitter Verifiziert?;GSR;Unnamed: 7;verified;followers_count;degree;betweenness;contribution_index;sentiment_avg;emotionality_avg;ego_art;ego_nudges;alter_art;alter_nudges;complexity_avg;betweenness_oscillation;Wikipedia_name;Backlinks;Links;Awards;Publications;Wikipedia_score_x;GSR_score;Wikipedia_score_y;Sentiment_score;Twitter_score;Thoughtleader_Score;class_labels
Adolf Muschg;m ;Literatur;Adolf Muschg;0;0;3920;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Adolf Muschg;245.0;104.0;0.0;0.0;349.0;0.02302183819612949;0.049398443029016276;0.16728985609187003;0.0;0.05992753432925395;0
Aleksanra Bachzetsis;w;Kunst;Alexandra Bachzetsis;0;0;888;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Alexandra Bachzetsis;7.0;30.0;0.0;0.0;37.0;0.005077824465881517;0.005237084217975938;0.0;0.0;0.0025787271709643636;0
Andreas Vollenweider;m;Musik;Andreas Vollenweider;a_vollenweider;ja;7500;0;1;1879.0;4.090.909.090.909.090;0.6363636363636364;0.0;0.820245238867673;0.2825329141183333;0.3456415345982143;1.023.809.518.132.890;12.391.162.449.001.700;1.163.265.313.420.970;7.093.006.553.071.910;0.2857142857142857;Andreas Vollenweider;84.0;153.0;0.0;1.0;422.0;0.044209031188968455;0.0597310686482661;0.0;0.0014676408802909205;0.026351935179381367;0
Anna Rosenwasser;w;Aktivismus;0;AnnaRosenwasser;0;1200;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0069243060898384326;0.0;0.16635369526231578;0.0;0.04331950033803855;0
Annemarie Piper;w;Philosophie;Annemarie Pieper;0;0;408;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Annemarie Pieper;51.0;45.0;0.0;0.0;96.0;0.0022370835059478014;0.013588110403397028;0.0;0.0;0.0039562984773362075;0
Aviel Cahn;m;Musik;Aviel Cahn;0;0;432;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Aviel Cahn;7.0;47.0;0.0;0.0;54.0;0.0023791205539444873;0.007643312101910828;0.14717157287525381;0.0;0.03929850138277728;0
Barbara Bleisch;w;Philosophie;Barbara Bleisch;BarbaraBleisch;0;1930;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barbara Bleisch;22.0;38.0;0.0;2.0;430.0;0.01124459963307096;0.06086341118188252;0.16354658365879424;0.020496665434874346;0.06403781497715551;0
Barbara Buser;w;Architektur;0;0;0;438;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0024146298159436587;0.0;0.0;0.0;0.0006036574539859147;0
Barbara Frey;w;Film;Barbara Frey (Regisseurin);0;0;2480;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barbara Frey (Regisseurin);93.0;100.0;0.0;0.0;193.0;0.014499615316328342;0.027317763623496107;0.0;0.0;0.010454344734956112;0
Benedikt von Peter;m;Musik;Benedikt von Peter;0;0;783;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Benedikt von Peter;26.0;43.0;0.0;0.0;69.0;0.004456412380896017;0.009766454352441613;0.0;0.0;0.0035557166833344077;0
