,Name,Twitter
0,Adolf Muschg,
1,Aleksanra Bachzetsis,
2,Andreas Vollenweider,0.006755032887881909
3,Anna Rosenwasser,0.01846395059267225
4,Annemarie Piper,
5,Aviel Cahn,
6,Barbara Bleisch,
7,Barbara Buser,
8,Barbara Frey,
9,Benedikt von Peter,
10,Bice Curiger,
11,Big Zis aka Franziska Schläpfer,
12,Boris Blank,0.0
13,Charles Lewinsky,
14,Chris von Rohr,
15,Christian Jott Jenny,
16,Christoph-Mathias Müller,
17,Christoph Rehmann-Suter,
18,Claudia Honegger,
19,Daniel Ryser,1.0
20,David Bosshardt,
21,Dieter Meier,
22,Dirk Helbing,0.1415307168175253
23,Eduard Käser,
24,Elisabeth Bronfen,
25,Endo Anaconda,
26,Eva Presenhuber,
27,Fanni Fetzer,
28,Franco Ambrosetti,
29,Frank und Patrik Riklin,
30,Güzin Kar,0.5720585520236077
31,Hazel Brugger,0.6892563531997375
32,Irena Brezna,
33,Jacqueline Burkhardt,
34,Jaques Herzog,
35,Jean Ziegler,
36,Jessica Jurassica,
37,Jonas Lüscher,
38,Jörg Scheller,
39,Jürg Halter,0.08650379024441524
40,Kathleen Bühler,
41,Katja Früh,
42,Katja Gentinetta,0.039893055794139626
43,Katja Rost,0.1477905625739341
44,Katja Rost,0.0
45,Knackeboul,0.740291273722984
46,Lara Stoll,
47,Lena Lisa Wüstendörfer,
48,Lorenz Häberli,
49,Luc Oggier (von Lu & Leduc),
50,Ludwig Hasler,0.0
51,Lukas Bärfuss,
52,Madeleine Schuppli,
53,Mai-Thu Perret,
54,Manon,
55,Manuel Stahlberger,
56,Mario Botta,
57,Marisa Godoy,
58,Marko Kovic,0.03993005770665976
59,Martin Meyer,
60,Martin R. Dean,0.008344609966452053
61,Melinda Nadj Abonji,
62,Michael Haefliger,0.10693027807254596
63,Mickry 3,
64,Milena Moser,
65,Milo Rau,
66,Miriam Cahn,
67,Miriam Meckel,
68,Oliver Bendel,
69,Patricia Kopatchinskaja ,
70,Patrick Rohr,0.04002335242243656
71,Patti Basler,0.4086932591610854
72,Peach Weber,0.011288015604596814
73,Pedro Lenz,0.0
74,Peter Bichsel,
75,Peter Bieri,
76,Peter Stamm,
77,Peter von Matt,
78,Petra Volpe,0.022994635273670436
79,Philip Ursprung,
80,Philipp Sarasin,0.5825378483259948
81,Pipilotti Rist,
82,Regula Stämpfli,
83,Rolf Dobelli,0.0002116838800262028
84,Ruth Schweikert,
85,Sibylle Berg,
86,Sylvie Fleury,
87,Sophie Hunger,0.08847040153227743
88,Steff la Cheffe,
89,Stephan Eicher,
90,Stress,
91,Thomas Hürlimann,
92,Thomas Maissen,
93,Thomas Strässle,
94,Thomas Straumann,
95,Tom Fischer,
96,Tommy Vercetti,0.008607476693222638
97,Ueli Mäder,
98,Ursula Hauser,
99,Ursula Rodel,
100,Zora del Buono,
