Name,GSR_score,Wikipedia_score,Sentiment_score,Twitter_score,Thoughtleader_Score
Aaron Troschke,0.011755648337330846,0.09813946882545092,0.15860232526704263,0.006805926183313118,0.06882584215328438
Alice Schwarzer,0.07731485594148826,0.17270274108791364,0.15430917097591015,0.0029954668325967346,0.1018305587094772
Aline Wanner,0.009860531225015547,0.0,0.16098623035225812,0.0,0.042711690394318415
Andres Veiel,0.011044979420212608,0.06660985655446669,0.0,0.0,0.019413708993669825
Anne Siemens,0.0,0.004828859536997586,0.1,0.0,0.0262072148842494
Anne Will,0.5972876136329988,0.041471381905979265,0.12681580784320415,0.08079839046241297,0.2115932984611488
Annika Brockschmidt,0.002268218293802375,0.031671637551484166,0.1315214945738148,0.38575613337981857,0.13780437094972997
Axel Honneth,0.13239169701815168,0.1322255361454339,0.16954517111050765,0.0,0.1085406010685233
Benedikt XVI.,0.3023600130289302,1.0,0.0,0.0,0.32559000325723253
Bernhard Waldenfels,0.007491634834621421,0.04260758414997869,0.16219089023002067,0.0,0.05307252730365519
Carina Kontio,0.0009949364839655327,0.0,0.17058823529411765,0.0,0.0428957929445208
Christian Drosten,0.5528708063131089,0.28163613123135917,0.15421688721365392,0.31920521824871434,0.32698226075170905
Christian Walther,0.009682863995735987,0.0034086067319982955,0.16385984819485622,0.00811229811327927,0.04626590425896744
Christoph Keller,0.03230582452399988,0.11077971878994461,0.1681568542494924,0.004267523471221659,0.07887748025866463
Clemens Fuest,0.05954813301353232,0.039909103820480046,0.16599702359561497,0.1250209072572443,0.0976187919217179
Deniz Utlu,0.004098190755381837,0.08194858684845903,0.18819374388453428,0.014526114539415484,0.07219165900694766
Frank Thelen,0.12054721506618105,0.06604175543246697,0.17994745800907175,0.11937562376412593,0.12147801306796142
Günther Jauch,0.26208877439223,0.12555034796193723,0.13080507498762858,0.0,0.12961104933544895
Hans-Werner Sinn,0.046400758046844924,0.09288453344695356,0.17732441035371088,0.01479856596733927,0.08285206695371215
Heike Behrend,0.010452755322614077,0.0632012498224684,0.1635213633723318,0.0,0.05929384212935357
Herta Müller,0.09271268247905007,0.1616247692089192,0.17045181273873128,0.0,0.10619731610667514
Isabella Eckerle,0.01447987918628409,0.006391137622496805,0.172154813869165,0.18388564036985708,0.09422786776195075
Jan Böhmermann,0.32012673595688607,0.22226956398238887,0.16495054794189873,1.0,0.42683671197029344
Joko Winterscheidt,0.07494595955109414,0.22993892912938502,0.16873753918861983,0.8637192173387156,0.33433541130195366
Joyce Ilg,0.03307571585087797,0.02655872745348672,0.0,0.13535024327381776,0.048746171644545616
Kai Diekmann,0.02069823221106867,0.04914074705297543,0.1708518115865107,0.3288832908188134,0.14239352041734205
Karl Lauterbach,0.45752272659974536,0.1754012214174123,0.15404419449998738,0.24551049713538428,0.25811965991313235
Kathrin Passig,0.005596517722306121,0.072006817213464,0.1599580992435478,0.2052924367332481,0.1107134677281415
Klaas Heufer-Umlauf,0.10218826804062657,0.11106376935094447,0.15637693143733303,0.757818378484514,0.28186183682835453
Lena-Sophie Müller,0.001533860412780196,0.0,0.2,0.0,0.05038346510319505
Linus Schöpfer,0.0013976488703325337,0.0,0.1636438786544932,0.0,0.04126038188120643
Luisa Neubauer,0.14127505848212965,0.03437011788098281,0.15905480547599826,0.16607653370894085,0.1251941288870129
Mai Thi Nguyen-Kim,0.07672263184388972,0.3194148558443403,0.15897629276841688,0.14058689607370312,0.17392516913258751
Maja Göpel,0.02940392644576708,0.04232353358897884,0.0,0.07814440652859457,0.037467966640835126
Malcolm Ohanwe,0.011577981108051286,0.5156937934952421,0.157211102550928,0.10603559494043525,0.19762961802366416
Marietta Slomka,0.04118918598797785,0.015054679732992472,0.1207278291132861,0.0,0.04424292370856411
Mario Adorf,0.0968582511622398,0.12214174122993893,0.15610113610805915,0.0,0.09377528212505946
Markus Gabriel,0.04332119273933256,0.20068172134639967,0.16248900361855909,0.0,0.10162297942607282
Melanie Brinkmann,0.04953954576411714,0.010083794915494958,0.14872226529402577,0.06591514960242176,0.06856518889401492
Michael Roes,0.0031506321992241866,0.06533162902996734,0.2,0.0,0.06712056530729789
Michael Zürn,0.000965325279085606,0.03621644652748189,0.18024355710842926,0.0,0.05435633222874919
Mirjam Fischer,0.002155695715258654,0.0,0.2,0.9550762144723047,0.28930797754689086
Peter Sloterdijk,0.11936276687098397,0.20806703593239598,0.17071269024381056,0.006935912991499805,0.12626960150967256
Peter Spork,0.003103254271416304,0.032523789234483735,0.17177478025642615,0.27837252926222283,0.12144358825613726
Philipp Hübl,0.002996653933848568,0.036358471807981824,0.0,0.024806228807645363,0.01604033863736894
Pinar Atalay,0.24669094785466822,0.012072148842493965,0.16950311458738274,0.04647554316052131,0.11868543861126656
Natascha Hoffner,0.0016878386781558142,0.0,0.18178885438199982,0.0,0.04586917326503891
Natascha Strobl,0.010275088093334517,0.04218150830847891,0.1141778110071261,0.46218298276568265,0.15720434754365553
Norbert Gstrein,0.021231233898907347,0.04260758414997869,0.1598556516887079,0.0,0.055923617434398484
Oliver Welke,0.0725770631607,0.04530606447947735,0.12790744696480588,0.0,0.06144764365124581
Richard David Precht,0.2200408634627343,0.10524073285044738,0.17096104115810407,0.0,0.12406065936782143
Sascha Lobo,0.03159515560688164,0.05894049140747053,0.1490875191039547,0.3066355406359377,0.13656467668856115
Sophie Passmann,0.04551242190044713,0.09515693793495242,0.15559601901346837,0.10307659036103134,0.09983549230247482
Rezo,1.0,0.06064479477346968,0.15138265684799332,0.22434979827224275,0.3590943124734264
