Name,GSR_score,Wikipedia_score,Sentiment_score,Twitter_score,Thoughtleader_Score
Adolf Muschg,0.02302183819612949,0.049398443029016276,0.16728985609187003,0.0,0.05992753432925395
Aleksanra Bachzetsis,0.005077824465881517,0.005237084217975938,0.0,0.0,0.0025787271709643636
Andreas Vollenweider,0.044209031188968455,0.04062278839348903,0.0,0.0014676408802909205,0.0215748651156871
Anna Rosenwasser,0.0069243060898384326,0.0,0.16635369526231578,0.0,0.04331950033803855
Annemarie Piper,0.0022370835059478014,0.013588110403397028,0.0,0.0,0.0039562984773362075
Aviel Cahn,0.0023791205539444873,0.007643312101910828,0.14717157287525381,0.0,0.03929850138277728
Barbara Bleisch,0.01124459963307096,0.02264685067232838,0.16354658365879424,0.020496665434874346,0.05448367484976698
Barbara Buser,0.0024146298159436587,0.0,0.0,0.0,0.0006036574539859147
Barbara Frey,0.014499615316328342,0.027317763623496107,0.0,0.0,0.010454344734956112
Benedikt von Peter,0.004456412380896017,0.009766454352441613,0.0,0.0,0.0035557166833344077
Bice Curiger,0.005231697934544594,0.016418966737438076,0.18516049401500748,0.0,0.05170278967174754
Big Zis aka Franziska Schläpfer,0.0058590282298632895,0.03128096249115357,0.0,0.0,0.009284997680254215
Boris Blank,0.020713736166183345,0.005520169851380042,0.1760386898685566,0.0,0.05056814897153
Charles Lewinsky,0.015564893176303485,0.036093418259023353,0.0,0.0,0.01291457785883171
Chris von Rohr,0.022666745576137775,0.031422505307855626,0.17163232580845983,0.0,0.05643039417311331
Christian Jott Jenny,0.004397230277564065,0.005803255484784147,0.16595601888227024,0.0,0.044039126161154615
ChristophMathias Müller,0.0018287269929573298,0.0,0.0,0.0017170391239377677,0.0008864415292237744
Christoph RehmannSuter,0.001686689944960644,0.0,0.0,0.0,0.000421672486240161
Claudia Honegger,0.0007752855536485767,0.01075725406935598,0.0,0.0,0.0028831349057511393
Daniel Ryser,0.0003728472509913002,0.009907997169143666,0.10586543216932025,0.178533250864015,0.07366988186336755
David Bosshardt,0.0,0.003397027600849257,0.0,0.0,0.0008492569002123143
Dieter Meier,0.019648458306208202,0.028308563340410473,0.1751628776691903,0.0021684915136319016,0.05632209770736023
Dirk Helbing,0.014085340593004675,0.011181882519462137,0.12153589838486226,0.026922331286527643,0.043431363195964176
Eduard Käser,0.00562229981653548,0.007926397735314932,0.0,0.0,0.0033871743879626028
Elisabeth Bronfen,0.008403858673137244,0.02802547770700637,0.13342517130668743,0.0,0.04246362692170776
Endo Anaconda,0.0068651239865064806,0.009907997169143666,0.17782842712474617,0.0,0.04865038707009908
Eva Presenhuber,0.012132331183050245,0.00028308563340410475,0.2,0.0,0.05310385420411359
Fanni Fetzer,0.0027815588566017634,0.009200283085633405,0.19378296295691544,0.0,0.05144120122478765
Franco Ambrosetti,0.016097532106291057,0.03821656050955414,0.17673205080756887,0.0,0.057761535855853516
Frank und Patrik Riklin,0.007161034503166242,0.006369426751592357,0.19053703654818951,0.01163876285496404,0.05392656516447804
Güzin Kar,0.021719831922826536,0.019815994338287332,0.17532097138503402,0.10719302773389909,0.08101245634501175
Hazel Brugger,0.08208557732141801,0.05548478414720453,0.16865941020981096,0.13028787824322255,0.109129412480414
Irena Brezna,0.004332129963898917,0.00778485491861288,0.0,0.0,0.0030292462206279493
Jacqueline Burkhardt,0.0011658874356394627,0.011606510969568294,0.0,0.0,0.0031930996013019393
Jaques Herzog,0.00047937503698881456,0.060155697098372256,0.0,0.0103588546182225,0.017748481688395892
Jean Ziegler,0.05178434041545837,0.06397735314932768,0.1575302645744331,0.0,0.06832298953480478
Jessica Jurassica,0.00881813339646091,0.0,0.16187295354420594,0.06404644259519124,0.05868438238396452
Jonas Lüscher,0.008226312363141386,0.030007077140835104,0.17347901725674783,0.0,0.052928101690181084
Jörg Scheller,0.04953542048884417,0.0448690728945506,0.1599769575235423,0.17235433505670564,0.10668394649091067
Jürg Halter,0.008463040776469196,0.018117480537862704,0.16087776311929433,0.016575819560003945,0.05100852599840754
Kathleen Bühler,0.0022370835059478014,0.0,0.2,0.0,0.050559270876486956
