,Name,Wikipedia,m/w,Bereich,GSR,id,Twitter Verifiziert?,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,verified,followers_count,degree,betweenness,contribution_index,sentiment_avg,emotionality_avg,ego_art,ego_nudges,alter_art,alter_nudges,complexity_avg,betweenness_oscillation,Wikipedia_name,Backlinks,Links,Awards,Publications,Wikipedia_score_x,GSR_score,Wikipedia_score_y,Sentiment_score,Twitter_score,Thoughtleader_Score,class_labels
0,Aaron Troschke,Aaron Troschke,0.0,0.0,2130,Aaron_Troschke,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Troschke,61.0,99.0,0.0,3.0,0.03788634097706879,0.01968172128303009,0.03788634097706879,0.7930116263352132,0.007188459082698585,0.21444203691950267,0
1,Alice Schwarzer,Alice Schwarzer,0.0,0.0,13200,_AliceSchwarzer,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alice Schwarzer,626.0,242.0,0.0,2.0,0.13160518444666003,0.12944326012592336,0.13160518444666003,0.7715458548795507,0.0,0.25814857486303355,0
2,Aline Wanner,0,0.0,0.0,1810,aline_wanner,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.016508849338158743,0.0,0.8049311517612906,0.0,0.20536000027486234,0
3,Andres Veiel,Andres Veiel,0.0,0.0,2010,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andres Veiel,157.0,151.0,0.0,1.0,0.04472297393533685,0.018491894303703335,0.04472297393533685,0.0,0.0,0.015803717059760046,0
4,Anne Siemens,Anne Siemens,0.0,0.0,145,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anne Siemens,24.0,34.0,0.0,0.0,0.0019940179461615153,0.0,0.0019940179461615153,0.5,0.0,0.12549850448654037,0
5,Anne Will,Anne Will,0.0,0.0,101000,annewill,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,73527.0,21.09090909090909,271.09090909090907,-0.01363636363636364,0.45437392530023657,0.22796566440621485,4.4595181805555555,1.2151852190494536,6.435841236111111,1.3140956521034242,9.773558855180347,1.8571428571428572,Anne Will,224.0,89.0,0.0,0.0,0.03831363053696055,1.0,0.03831363053696055,0.6340790392160207,0.05552748642574644,0.4319800390446819,1
6,Annika Brockschmidt,Annika Brockschmidt,0.0,0.0,528,ardenthistorian,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42063.0,73.5,1165.3333333333335,-0.025,0.41860973345562036,0.2303521696098701,0.6630997569444445,1.3542319536209106,0.49407602430555553,1.3532163500785828,8.795052114460203,0.0,Annika Brockschmidt,5.0,57.0,0.0,1.0,0.009685230024213076,0.003797531109017897,0.009685230024213076,0.657607472869074,0.08925233594249754,0.19008564248620063,0
7,Axel Honneth,Axel Honneth,0.0,0.0,22500,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Axel Honneth,164.0,52.0,0.0,4.0,0.05298390542657741,0.22165485102374696,0.05298390542657741,0.8477258555525382,0.0,0.28059115300071563,0
8,Benedikt XVI.,Benedikt XVI.,0.0,0.0,51200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benedikt XVI.,6324.0,741.0,0.0,0.0,1.0,0.5062218035793962,1.0,0.0,0.0,0.37655545089484904,1
9,Bernhard Waldenfels,Bernhard Waldenfels,0.0,0.0,1410,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bernhard Waldenfels,81.0,58.0,1.0,0.0,0.02065232872810141,0.012542759407069556,0.02065232872810141,0.8109544511501033,0.0,0.21103738482131856,0
