,Name,m/w,Bereich,Wikipedia,id,Twitter Verifiziert?,GSR,Unnamed: 7,verified,followers_count,degree,betweenness,contribution_index,sentiment_avg,emotionality_avg,ego_art,ego_nudges,alter_art,alter_nudges,complexity_avg,betweenness_oscillation,Wikipedia_name,Backlinks,Links,Awards,Publications,Wikipedia_score_x,GSR_score,Wikipedia_score_y,Sentiment_score,Twitter_score,Thoughtleader_Score,class_labels
0,Adolf Muschg,m ,Literatur,Adolf Muschg,0,0,3920,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adolf Muschg,246.0,104.0,0.0,0.0,0.38845726970033295,0.14921365554276947,0.38845726970033295,0.8364492804593501,0.0,0.3435300514256131,1
1,Aleksanra Bachzetsis,w,Kunst,Alexandra Bachzetsis,0,0,888,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexandra Bachzetsis,7.0,30.0,0.0,0.0,0.041065482796892344,0.03291139240506329,0.041065482796892344,0.0,0.0,0.01849421880048891,0
2,Andreas Vollenweider,m,Musik,Andreas Vollenweider,a_vollenweider,ja,7500,0,1,1879.0,4.090909090909091,0.6363636363636364,0.0,0.820245238867673,0.2825329141183333,0.3456415345982143,1.023809518132891,12.391162449001737,1.163265313420977,7.093006553071917,0.2857142857142857,Andreas Vollenweider,84.0,153.0,0.0,1.0,0.31853496115427304,0.286536248561565,0.31853496115427304,0.0,0.00317996042494919,0.1520627925351968,0
3,Anna Rosenwasser,w,Aktivismus,0,AnnaRosenwasser,0,1200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.04487917146144994,0.0,0.8317684763115789,0.0,0.2191619119432572,0
4,Annemarie Piper,w,Philosophie,Annemarie Pieper,0,0,408,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Annemarie Pieper,51.0,45.0,0.0,0.0,0.10654827968923418,0.014499424626006905,0.10654827968923418,0.0,0.0,0.030261926078810272,0
5,Aviel Cahn,m,Musik,Aviel Cahn,0,0,432,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aviel Cahn,7.0,47.0,0.0,0.0,0.05993340732519423,0.015420023014959724,0.05993340732519423,0.7358578643762691,0.0,0.20280282367910576,0
6,Barbara Bleisch,w,Philosophie,Barbara Bleisch,BarbaraBleisch,0,1930,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barbara Bleisch,22.0,38.0,0.0,2.0,0.17758046614872364,0.0728807057920982,0.17758046614872364,0.8177329182939712,0.044410445226494705,0.2781511338653219,0
7,Barbara Buser,w,Architektur,0,0,0,438,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.015650172612197928,0.0,0.0,0.0,0.003912543153049482,0
8,Barbara Frey,w,Film,Barbara Frey (Regisseurin),0,0,2480,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barbara Frey (Regisseurin),93.0,100.0,0.0,0.0,0.2142064372918979,0.09397775220560031,0.2142064372918979,0.0,0.0,0.07704604737437455,0
9,Benedikt von Peter,m,Musik,Benedikt von Peter,0,0,783,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benedikt von Peter,26.0,43.0,0.0,0.0,0.07658157602663707,0.028883774453394708,0.07658157602663707,0.0,0.0,0.026366337620007944,0
