id,name,favourites_count,followers_count,friends_count,listed_count,statuses_count,tribe_id,in_degree,degree,contribution_index,out_degree,messages_sent,messages_total,messages_received,alter_nudges,ego_art,alter_art,ego_nudges,reach_2,reach_2_out,community_id,community_reach,community_score,community_size,complexity_avg,happiness,stress,emotionality_avg,sentiment_avg,betweenness,closeness,betweenness_oscillation
_fkaminski,Frank Kaminski,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,2,2,,,,,2.5,0.0,community_20,0.0,0.0,20.5,,,,,,0.0,0.0,
beda_meier,Beda Meier 💉💉,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,2,2,,,,,2.0,0.0,community_21,0.0,0.2558139534883721,13.0,,,,,,0.0,0.0,
chariteberlin,Charité - Universitätsmedizin Berlin,3350,51632,249,385,1875,Swiss Thoughtleaders_239c07488210221c,1.6666666666666667,3.3333333333333335,-0.7766666666666667,1.6666666666666667,2,8,6,1.0,0.5955555555555555,0.2866666666666667,1.5,6.0,8.666666666666666,community_12,0.3333333333333333,0.4788182831661092,15.333333333333334,6.5471062660217285,0.2937130779027939,0.2937130779027939,0.15339473634958267,0.5874261558055878,6.333333333333333,0.12280701754385964,
chipgibbons89,Chip Gibbons,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_11,0.0,1.0,46.0,,,,,,0.0,0.0,
chrisstoecker,Christian Stöcker,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_21,0.0,1.0,48.0,,,,,,0.0,0.0,
codecamp_n,CodeCamp:N,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_17,0.0,0.0,4.0,,,,,,0.0,0.0,
erhardscherfer,Erhard *bleibt vorsichtig* Scherfer,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_16,0.0,0.06557377049180328,6.0,,,,,,0.0,0.0,
fritz_offiziell,Fritz,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_19,0.0,0.675,29.0,,,,,,0.0,0.0,
goetheinstitut,goetheinstitut,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_20,0.0,0.046511627906976744,4.0,,,,,,0.0,0.0,
kirawelter,Dr. Kira Welter,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_30,0.0,0.375,7.0,,,,,,0.0,0.0,
lcb_berlin,🅛🅒🅑,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,5,5,,,,,2.0,0.0,community_20,0.0,0.4873737373737373,7.0,,,,,,0.0,0.0,
manjol,Manjol m(ode)RNA 💉💉,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,2,2,,,,,2.0,0.0,community_21,0.0,1.0,48.0,,,,,,0.0,0.0,
naomigregoris,Naomi Gregoris,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,5,5,,,,,2.2,0.0,community_14,0.0,0.5285714285714286,10.8,,,,,,0.0,0.0,0.0
natashaakelly,Natasha A. Kelly,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_21,0.0,0.125,7.0,,,,,,0.0,0.0,
pandemic_de,der komische pilz,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_21,0.0,1.0,48.0,,,,,,0.0,0.0,
samantha_zaugg,Samantha Zaugg,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_14,0.0,0.5,7.0,,,,,,0.0,0.0,
seefahrer_eric,Erika Burri,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,3.0,0.0,community_6,0.0,0.2,5.0,,,,,,0.0,0.0,
spiegel_top,SPIEGEL Top,10,314469,26,3767,101783,Swiss Thoughtleaders_239c07488210221c,3.0,5.0,-0.33,2.0,1,3,2,,0.0,,1.0,9.0,8.0,community_30,0.0,0.4444444444444444,7.0,6.5726447105407715,0.8618449568748474,0.8618449568748474,0.20593634247779846,0.8618449568748474,0.0,0.35964912280701755,
weilenberger,Wolfram Eilenberger,4995,7087,1042,123,3930,Swiss Thoughtleaders_239c07488210221c,1.3333333333333333,1.5555555555555556,-0.9255555555555556,0.2222222222222222,1,15,14,1.0,,0.0,,3.111111111111111,0.8888888888888888,community_14,0.0,0.7312121212121212,12.0,8.131404876708984,0.10472963005304337,0.10472963005304337,0.19953405857086182,0.10472963005304337,0.0,0.04004004004004004,0.0
aline_wanner,Aline Wanner,1647,5589,2195,122,1396,Swiss Thoughtleaders_239c07488210221c,2.14,8.36,-0.0102,6.22,179,365,186,1.1986365516980488,8.62584476423852,10.401691586538462,1.2598670957580445,7.54,10.92,community_18,0.8,0.29002523785297146,6.16,9.098075820099226,0.2680095573287645,0.2680095573287645,0.23472429192690844,0.4845086200925968,26.34,0.43885903056469727,1.6521739130434783
barmer_presse,BARMER Presse,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_12,0.0,0.14285714285714285,6.0,,,,,,0.0,0.0,
benteliciousart,Bentelicious Art,0,0,0,0,0,Swiss Thoughtleaders_239c07488210221c,1.0,1.0,-1.0,0.0,0,1,1,,,,,2.0,0.0,community_8,0.0,1.0,80.0,,,,,,0.0,0.0,
