,Name,Twitter_id,Twitter
0,Adolf Muschg,-,
1,Aleksanra Bachzetsis,-,
2,Andreas Vollenweider,a_vollenweider,31.91094611004746
3,Anna Rosenwasser,AnnaRosenwasser,
4,Annemarie Piper,-,
5,Aviel Cahn,-,
6,Barbara Bleisch,BarbaraBleisch,
7,Barbara Buser,-,
8,Barbara Frey,-,
9,Benedikt von Peter,-,
10,Bice Curiger,-,
11,Big Zis aka Franziska Schläpfer,-,
12,Boris Blank,-,
13,Charles Lewinsky,-,
14,Chris von Rohr,-,
15,Christian Jott Jenny,-,
16,Christoph-Mathias Müller,cmu1001,
17,Christoph Rehmann-Suter,-,
18,Claudia Honegger,-,
19,Daniel Ryser,dnlrysr,4724.025277107626
20,David Bosshardt,-,
21,Dieter Meier,yello_official,
22,Dirk Helbing,DirkHelbing,
23,Eduard Käser,-,
24,Elisabeth Bronfen,-,
25,Endo Anaconda,-,
26,Eva Presenhuber,-,
27,Fanni Fetzer,-,
28,Franco Ambrosetti,-,
29,Frank und Patrik Riklin,sonderaufgaben,
30,Güzin Kar,Guzinkar,
31,Hazel Brugger,hazelbrugger,3256.0644349225818
32,Irena Brezna,-,
33,Jacqueline Burkhardt,-,
34,Jaques Herzog,HerzogdeMeuron,
35,Jean Ziegler,-,
36,Jessica Jurassica,sickbutsocial,
37,Jonas Lüscher,-,
38,Jörg Scheller,joergscheller1,
39,Jürg Halter,halterjuerg,408.6460916802336
40,Kathleen Bühler,-,
41,Katja Früh,-,
42,Katja Gentinetta,KGentinetta,
43,Katja Rost,katja_rost,698.1663533172209
44,Knackeboul,Knackeboul,
45,Lara Stoll,-,
46,Lena Lisa Wüstendörfer,-,
47,Lorenz Häberli,LoLeduc,
48,Luc Oggier (von Lu & Leduc),LoLeduc,
49,Ludwig Hasler,LudwigHasler,
50,Lukas Bärfuss,-,
51,Madeleine Schuppli,-,
52,Mai-Thu Perret,-,
53,Manon,-,
54,Manuel Stahlberger,-,
55,Mario Botta,-,
56,Marisa Godoy,-,
57,Marko Kovic,marko_kovic,188.63060192262688
58,Martin Meyer,-,
59,Martin R. Dean,MrdeanR,
60,Melinda Nadj Abonji,-,
61,Michael Haefliger,mhaefliger,505.1413365028544
62,Mickry 3,-,
63,Milena Moser,-,
64,Milo Rau,-,
65,Miriam Cahn,-,
66,Miriam Meckel,mmeckel,
67,Oliver Bendel,-,
68,Patricia Kopatchinskaja ,PatKopViolin,
69,Patrick Rohr,_patrickrohr,189.07132851817704
70,Patti Basler,PattiBasler,
71,Peach Weber,PeachWeber,
72,Pedro Lenz,pedrolenz,0.0
73,Peter Bichsel,-,
74,Peter Bieri,-,
75,Peter Stamm,-,
76,Peter von Matt,-,
77,Petra Volpe,PetraVolpe,
78,Philip Ursprung,-,
79,Philipp Sarasin,Philipp_Sarasin,
80,Pipilotti Rist,-,
81,Regula Stämpfli,laStaempfli,
82,Rolf Dobelli,dobelli,1.0
83,Ruth Schweikert,-,
84,Sibylle Berg,SibylleBerg,
85,Sylvie Fleury,-,
86,Sophie Hunger,SophieHunger,
87,Steff la Cheffe,-,
88,Stephan Eicher,stephaneicher1,
89,Stress,stressmusic,
90,Thomas Hürlimann,-,
91,Thomas Maissen,-,
92,Thomas Strässle,-,
93,Thomas Straumann,straumann,
94,Tom Fischer,TomGWarrior,
95,Tommy Vercetti,Vercetti_031,
96,Ueli Mäder,-,
97,Ursula Hauser,-,
98,Ursula Rodel,-,
99,Zora del Buono,-,
