,Name,Wikipedia_score
0,Adolf Muschg,0.25760950259836674
0,Alexandra Bachzetsis,0.025983667409057165
0,Andreas Vollenweider,0.24870081662954716
0,Annemarie Pieper,0.06978470675575353
0,Aviel Cahn,0.038604305864884926
0,Barbara Bleisch,0.1915367483296214
0,Barbara Frey (Regisseurin),0.14179658500371195
0,Benedikt von Peter,0.04974016332590943
0,Bice Curiger,0.08463251670378619
0,Big Zis,0.2739420935412027
0,Boris Blank (Musiker),0.02746844840386043
0,Charles Lewinsky,0.26206384558277657
0,Chris von Rohr,0.1633259094283593
0,Christian Jott Jenny,0.02969561989606533
0,Christoph-Mathias Mueller,0.04528582034149963
0,Christoph Rehmann-Sutter,0.030438010393466965
0,Claudia Honegger,0.05493689680772086
0,Daniel Ryser,0.050482553823311065
0,David Bosshart,0.015590200445434299
0,Dieter Meier,0.14699331848552338
0,Dirk Helbing,0.05642167780252413
0,Eduard Kaeser,0.0400890868596882
0,Elisabeth Bronfen,0.14550853749072012
0,Endo Anaconda,0.050482553823311065
0,Eva Presenhuber,0.0
0,Fanni Fetzer,0.0467706013363029
0,Franco Ambrosetti,0.23608017817371937
0,Atelier für Sonderaufgaben,0.032665181885671864
0,Güzin Kar,0.13956941351150706
0,Hazel Brugger,0.47512991833704527
0,Irena Brežná,0.03934669636228656
0,Jacqueline Burckhardt,0.05939123979213066
0,Herzog & de Meuron,0.31403118040089084
0,Jean Ziegler,0.37193763919821826
0,Jonas Lüscher,0.2301410541945063
0,Jörg Scheller,0.3823311061618411
0,Jürg Halter,0.13066072754268745
0,Katja Früh,0.04528582034149963
0,Katja Gentinetta,0.038604305864884926
0,Katja Rost,0.022271714922048998
0,Knackeboul,0.2026726057906459
0,Lara Stoll,0.1915367483296214
0,Lena-Lisa Wüstendörfer,0.0400890868596882
0,Lo & Leduc,0.06533036377134373
0,Lo & Leduc,0.06533036377134373
0,Ludwig Hasler,0.025983667409057165
0,Lukas Bärfuss,0.5063103192279139
0,Madeleine Schuppli,0.031180400890868598
0,Manon (Künstlerin),0.028210838901262063
0,Manuel Stahlberger,0.10244988864142539
0,Mario Botta,0.2256867112100965
0,Martin Meyer (Publizist),0.060133630289532294
0,Martin R. Dean,0.05270972531551596
0,Melinda Nadj Abonji,0.08611729769858946
0,Michael Haefliger,0.025241276911655532
0,Milena Moser,0.041573867854491464
0,Milo Rau,0.7587230883444692
0,Miriam Cahn,0.09205642167780252
0,Miriam Meckel,0.12100965107646622
0,Oliver Bendel,0.0334075723830735
0,Patricia Kopatchinskaja ,0.22271714922049
0,Patrick Rohr,0.11284335560504825
0,Patti Basler,0.030438010393466965
0,Peach Weber,0.10319227913882702
0,Pedro Lenz,0.23088344469190794
0,Peter Bichsel,0.2835931700074239
0,Peter Bieri,0.2984409799554566
0,Peter Stamm,0.26280623608017817
0,Peter von Matt,0.17743132887899035
0,Petra Volpe,0.20415738678544915
0,Philip Ursprung,0.10690423162583519
0,Philipp Sarasin,0.14847809948032664
0,Pipilotti Rist,0.19079435783221974
0,Regula Stämpfli,0.06087602078693393
0,Rolf Dobelli,0.07275426874536006
0,Ruth Schweikert,0.066815144766147
0,Sibylle Berg,1.0
0,Sylvie Fleury,0.07423904974016332
0,Sophie Hunger,0.2642910170749814
0,Steff la Cheffe,0.1403118040089087
0,Stephan Eicher,0.16406829992576094
0,Stress (Musiker),0.12843355605048257
0,Thomas Hürlimann,0.33556050482553823
0,Thomas Maissen,0.12991833704528583
0,Thomas Strässle,0.05642167780252413
0,Straumann (Unternehmen),0.13956941351150706
0,Thomas Gabriel Fischer,0.050482553823311065
0,Tommy Vercetti,0.03711952487008166
0,Ueli Mäder,0.038604305864884926
0,Ursula Rodel,0.0007423904974016332
0,Zora del Buono,0.11432813659985153
