Name,GSR_score,Wikipedia_score,Sentiment_score,Twitter_score,Thoughtleader_Score
Aaron Troschke,0.011755648337330846,0.04061923022297969,0.7930116263352132,0.007331283501821723,0.21317944709933637
Alice Schwarzer,0.07731485594148826,0.13407186479193298,0.7715458548795507,0.0,0.245733143903243
Aline Wanner,0.009860531225015547,0.0,0.8049311517612906,0.005558293654840618,0.20508749416028668
Andres Veiel,0.011044979420212608,0.04743644368697628,0.0,0.0,0.014620355776797222
Anne Siemens,0.0,0.004828859536997586,0.5,0.0,0.1262072148842494
Anne Will,0.5972876136329988,0.041045306064479474,0.6340790392160207,0.050148693586178295,0.3306401631249193
Annika Brockschmidt,0.002268218293802375,0.012498224683993751,0.657607472869074,0.06488197494694879,0.18431397269845473
Axel Honneth,0.13239169701815168,0.05567390995597216,0.8477258555525382,0.0,0.2589478656316655
Benedikt XVI.,0.3023600130289302,1.0,0.0,0.0,0.32559000325723253
Bernhard Waldenfels,0.007491634834621421,0.023434171282488283,0.8109544511501033,0.0,0.21047006431680326
Carina Kontio,0.0009949364839655327,0.0,0.8529411764705882,0.0,0.21348402823863843
Christian Drosten,0.5528708063131089,0.1087913648629456,0.7710844360682696,0.4141362870056005,0.4617207235624811
Christian Walther,0.009682863995735987,0.0028405056099985795,0.8192992409742811,0.002235777311751377,0.20851459697294175
Christoph Keller,0.03230582452399988,0.034086067319982954,0.8407842712474619,0.002385692930155888,0.22739046400540017
Clemens Fuest,0.05954813301353232,0.020593665672489703,0.8299851179780748,0.0,0.2275317291660242
Deniz Utlu,0.004098190755381837,0.024428348245987785,0.9409687194226714,0.003443679019531311,0.24323473436089307
Frank Thelen,0.12054721506618105,0.027694929697486152,0.8997372900453587,0.0,0.2619948587022565
Günther Jauch,0.26208877439223,0.10595085925294702,0.654025374938143,0.0,0.25551625214582996
Hans-Werner Sinn,0.046400758046844924,0.07371112057946315,0.8866220517685545,0.0,0.25168348259871565
Heike Behrend,0.010452755322614077,0.024854424087487573,0.817606816861659,0.0,0.21322849906794017
Herta Müller,0.09271268247905007,0.14230933106092886,0.8522590636936564,0.0,0.27182026930840886
Isabella Eckerle,0.01447987918628409,0.006391137622496805,0.860774069345825,0.03149785145328359,0.22828573440197236
Jan Böhmermann,0.32012673595688607,0.12626047436443688,0.8247527397094937,0.0,0.3177849875077042
Joko Winterscheidt,0.07494595955109414,0.09572503905695214,0.8436876959430991,0.0,0.25358967363778634
Joyce Ilg,0.03307571585087797,0.02655872745348672,0.0,0.0,0.014908610826091174
Kai Diekmann,0.02069823221106867,0.04914074705297543,0.8542590579325534,0.0,0.2310245092991494
Karl Lauterbach,0.45752272659974536,0.07925010651896038,0.7702209724999369,0.0,0.3267484514046607
Kathrin Passig,0.005596517722306121,0.03365999147848317,0.7997904962177391,0.0,0.2097617513546321
Klaas Heufer-Umlauf,0.10218826804062657,0.07271694361596365,0.7818846571866651,1.0,0.4891974672108138
Lena-Sophie Müller,0.001533860412780196,0.0,1.0,0.0,0.25038346510319504
Linus Schöpfer,0.0013976488703325337,0.0,0.8182193932724661,0.0,0.20490426053569966
Luisa Neubauer,0.14127505848212965,0.033802016758983096,0.7952740273799913,0.0,0.242587775655276
Mai Thi Nguyen-Kim,0.07672263184388972,0.10850731430194574,0.7948814638420844,0.0,0.24502785249697995
Maja Göpel,0.02940392644576708,0.023150120721488424,0.0,0.055463749866084065,0.027004449258334895
Malcolm Ohanwe,0.011577981108051286,0.15125692373242436,0.7860555127546399,0.0,0.2372226043987789
Marietta Slomka,0.04118918598797785,0.015054679732992472,0.6036391455664305,0.0,0.1649707528218502
Mario Adorf,0.0968582511622398,0.12214174122993893,0.7805056805402957,0.0,0.2498764182331186
Markus Gabriel,0.04332119273933256,0.05894049140747053,0.8124450180927955,0.0,0.22867667555989962
Melanie Brinkmann,0.04953954576411714,0.010083794915494958,0.7436113264701288,0.062132975594100574,0.21634191068596037
Michael Roes,0.0031506321992241866,0.02698480329498651,1.0,0.0,0.2575338588735527
Michael Zürn,0.000965325279085606,0.017043033659991477,0.9012177855421464,0.0,0.22980653612030585
Mirjam Fischer,0.002155695715258654,0.0,1.0,0.0,0.25053892392881466
Peter Sloterdijk,0.11936276687098397,0.1121999715949439,0.8535634512190527,0.0,0.27128154742124516
Peter Spork,0.003103254271416304,0.013350376366993325,0.8588739012821307,0.0,0.2188318829801351
Philipp Hübl,0.002996653933848568,0.017185058940491407,0.0,0.0,0.005045428218584993
Pinar Atalay,0.24669094785466822,0.012072148842493965,0.8475155729369137,0.0,0.27656966740851896
Natascha Hoffner,0.0016878386781558142,0.0,0.9089442719099992,0.0,0.22765802764703874
Natascha Strobl,0.010275088093334517,0.023008095440988495,0.5708890550356305,0.0,0.15104305964248838
Norbert Gstrein,0.021231233898907347,0.023434171282488283,0.7992782584435396,0.0,0.2109859159062338
Oliver Welke,0.0725770631607,0.04530606447947735,0.6395372348240294,0.0,0.18935509061605169
Richard David Precht,0.2200408634627343,0.06675188183496662,0.8548052057905203,0.0,0.2853994877720553
Sascha Lobo,0.03159515560688164,0.03948302797898026,0.7454375955197735,0.0,0.20412894477640886
Sophie Passmann,0.04551242190044713,0.037636699332481184,0.7779800950673419,0.0,0.21528230407506754
Rezo,1.0,0.06021871893196989,0.7569132842399666,0.0,0.4542830007929841
