Name,GSR_score,Wikipedia_score,Sentiment_score,Twitter_score,Thoughtleader_Score
Adolf Muschg,0.14921365554276947,0.386845039018952,0.83644928045935,0.0,0.3431269937552679
Aleksanra Bachzetsis,0.03291139240506329,0.0390189520624303,0.0,0.0,0.017982586116873398
Andreas Vollenweider,0.286536248561565,0.3177257525083612,0.0,0.0067550328878819,0.15275425848945204
Anna Rosenwasser,0.04487917146144994,0.0,0.8317684763115789,0.0184639505926722,0.22377789959142527
Annemarie Piper,0.014499424626006905,0.10479375696767,0.0,0.0,0.029823295398419228
Aviel Cahn,0.015420023014959724,0.0579710144927536,0.7358578643762691,0.0,0.20231222547099562
Barbara Bleisch,0.0728807057920982,0.1761426978818283,0.8177329182939712,0.0,0.26668908049197443
Barbara Buser,0.015650172612197928,0.0,0.0,0.0,0.003912543153049482
Barbara Frey,0.09397775220560031,0.2129319955406912,0.0,0.0,0.07672743693657288
Benedikt von Peter,0.028883774453394708,0.0746934225195094,0.0,0.0,0.02589429924322603
Bice Curiger,0.033908707326428845,0.1270903010033444,0.9258024700750374,0.0,0.27170036960120264
Big Zis aka Franziska Schläpfer,0.0379746835443038,0.2441471571906354,0.0,0.0,0.0705304601837348
Boris Blank,0.13425393172228614,0.0412486064659977,0.8801934493427831,0.0,0.26392399688276674
Charles Lewinsky,0.10088224012274645,0.282051282051282,0.0,0.0,0.09573338054350711
Chris von Rohr,0.14691215957038742,0.2452619843924191,0.8581616290422992,0.0,0.3125839432512764
Christian Jott Jenny,0.028500191791331033,0.0445930880713489,0.8297800944113513,0.0,0.22571834356850778
Christoph-Mathias Müller,0.011852704257767549,0.0680044593088071,0.0,0.0,0.01996429089164366
Christoph Rehmann-Suter,0.01093210586881473,0.0457079152731326,0.0,0.0,0.014160005285486832
Claudia Honegger,0.005024932873034139,0.0824972129319955,0.0,0.0,0.02188053645125741
Daniel Ryser,0.0024165707710011508,0.0758082497212932,0.5293271608466013,1.0,0.4018879953347239
David Bosshardt,0.0,0.0234113712374581,0.0,0.0,0.005852842809364525
Dieter Meier,0.12734944380514002,0.2207357859531772,0.8758143883459516,0.0,0.30597490452606724
Dirk Helbing,0.09129267357115459,0.0847268673355629,0.6076794919243113,0.1415307168175253,0.2313074374121385
Eduard Käser,0.0364403528960491,0.060200668896321,0.0,0.0,0.024160255448092527
Elisabeth Bronfen,0.05446873801304181,0.2185061315496098,0.6671258565334371,0.0,0.2350251815240222
Endo Anaconda,0.04449558879938627,0.0758082497212932,0.8891421356237309,0.0,0.2523614935361026
Eva Presenhuber,0.07863444572305332,0.0,1.0,0.0,0.2696586114307633
Fanni Fetzer,0.01802838511699271,0.0702341137123745,0.9689148147845772,0.0,0.2642943284034861
Franco Ambrosetti,0.10433448408131953,0.2987736900780379,0.8836602540378444,0.0,0.32169210704930046
Frank und Patrik Riklin,0.046413502109704644,0.0490523968784838,0.9526851827409476,0.0,0.262037770432284
Güzin Kar,0.14077483697736862,0.1538461538461538,0.8766048569251701,0.5720585520236077,0.43582109994307505
Hazel Brugger,0.5320291522823168,0.4347826086956521,0.8432970510490547,0.6892563531997375,0.6248412913066903
Irena Brezna,0.02807825086306099,0.0590858416945373,0.0,0.0,0.021791023139399575
Jacqueline Burkhardt,0.007556578442654392,0.0891861761426978,0.0,0.0,0.02418568864633805
Jaques Herzog,0.0031070195627157654,0.471571906354515,0.0,0.0,0.11866973147930769
Jean Ziegler,0.33563482930571537,0.5027870680044593,0.7876513228721654,0.0,0.40651830504558506
Jessica Jurassica,0.05715381664748753,0.0,0.8093647677210297,0.0,0.2166296460921293
Jonas Lüscher,0.05331799002685079,0.2341137123745819,0.8673950862837392,0.0,0.28870669717129294
Jörg Scheller,0.32105868814729577,0.3511705685618729,0.7998847876177115,0.0,0.3680285110817201
Jürg Halter,0.05485232067510549,0.1404682274247491,0.8043888155964717,0.0865037902444152,0.27155328848518534
Kathleen Bühler,0.014499424626006905,0.0,1.0,0.0,0.2536248561565017
Katja Früh,0.01990794016110472,0.0680044593088071,0.7392161000147851,0.0,0.20678212487117423
Katja Gentinetta,0.015726889144610665,0.0579710144927536,0.88326375980955,0.0398930557941396,0.24921367981026346
Katja Rost,0.018757192174913694,0.0334448160535117,0.7331793044385867,0.1477905625739341,0.23329296881023653
Katja Rost,0.018757192174913694,0.0334448160535117,0.7331793044385867,0.0,0.196345328166753
Knackeboul,0.07096279248177982,0.1928651059085841,0.7988220021288099,0.740291273722984,0.45073529356053943
Lara Stoll,0.1016494054468738,0.1761426978818283,0.0,0.0,0.06944802583217552
Lena Lisa Wüstendörfer,0.013310318373609513,0.060200668896321,0.0,0.0,0.01837774681748263
Lorenz Häberli,0.10510164940544688,0.0981047937569676,0.0,0.0,0.05080161079060362
Luc Oggier (von Lu & Leduc),0.10510164940544688,0.0981047937569676,0.0,0.0,0.05080161079060362
Ludwig Hasler,0.016570771001150748,0.0390189520624303,0.8512092072632591,0.0,0.22669973258171003
Lukas Bärfuss,0.1534330648254699,0.5373467112597548,0.7931165683940083,0.0,0.37097408611980826
