Source;Target;RawCount;Type;Weight
Bannkraft Silvia;Luna Wedler;4;Undirected;0.0065040650406504065
Max Hubacher;Verlegertochter Lilli;4;Undirected;0.0065040650406504065
Luna Wedler;Yulia Stephan;4;Undirected;0.0065040650406504065
Bannkraft Silvia;Literaturinstituts Biel;4;Undirected;0.0065040650406504065
Luna Wedler;Theaterregisseurs Peter;4;Undirected;0.0065040650406504065
Max Hubacher;Silvia Tschui;4;Undirected;0.0065040650406504065
Philipp Schaufelberger;Yulia Stephan;4;Undirected;0.0065040650406504065
Luna Wedler;Max Hubacher;4;Undirected;0.0065040650406504065
Theaterregisseurs Peter;Yulia Stephan;4;Undirected;0.0065040650406504065
Bannkraft Silvia;Max Hubacher;4;Undirected;0.0065040650406504065
Bannkraft Silvia;Silvia Tschui;4;Undirected;0.0065040650406504065
Literaturinstituts Biel;Theaterregisseurs Peter;4;Undirected;0.0065040650406504065
Luna Wedler;Silvia Tschui;4;Undirected;0.0065040650406504065
Literaturinstituts Biel;Verlegertochter Lilli;4;Undirected;0.0065040650406504065
Bannkraft Silvia;Theaterregisseurs Peter;4;Undirected;0.0065040650406504065
Luna Wedler;Verlegertochter Lilli;4;Undirected;0.0065040650406504065
Silvia Tschui;Theaterregisseurs Peter;4;Undirected;0.0065040650406504065
Luna Wedler;Philipp Schaufelberger;4;Undirected;0.0065040650406504065
Silvia Tschui;Verlegertochter Lilli;4;Undirected;0.0065040650406504065
Philipp Schaufelberger;Silvia Tschui;4;Undirected;0.0065040650406504065
Silvia Tschui;Yulia Stephan;4;Undirected;0.0065040650406504065
Literaturinstituts Biel;Max Hubacher;4;Undirected;0.0065040650406504065
Theaterregisseurs Peter;Verlegertochter Lilli;4;Undirected;0.0065040650406504065
Bannkraft Silvia;Philipp Schaufelberger;4;Undirected;0.0065040650406504065
Max Hubacher;Theaterregisseurs Peter;4;Undirected;0.0065040650406504065
Verlegertochter Lilli;Yulia Stephan;4;Undirected;0.0065040650406504065
Bannkraft Silvia;Verlegertochter Lilli;4;Undirected;0.0065040650406504065
Philipp Schaufelberger;Theaterregisseurs Peter;4;Undirected;0.0065040650406504065
Philipp Schaufelberger;Verlegertochter Lilli;4;Undirected;0.0065040650406504065
Max Hubacher;Philipp Schaufelberger;4;Undirected;0.0065040650406504065
Literaturinstituts Biel;Yulia Stephan;4;Undirected;0.0065040650406504065
Literaturinstituts Biel;Silvia Tschui;4;Undirected;0.0065040650406504065
Literaturinstituts Biel;Philipp Schaufelberger;4;Undirected;0.0065040650406504065
Bannkraft Silvia;Yulia Stephan;4;Undirected;0.0065040650406504065
Literaturinstituts Biel;Luna Wedler;4;Undirected;0.0065040650406504065
Max Hubacher;Yulia Stephan;4;Undirected;0.0065040650406504065
Fingermalereien Soutters;Sabine Altorfer;3;Undirected;0.0048780487804878049
Fingermalereien Soutters;Michel Layaz;3;Undirected;0.0048780487804878049
Michel Layaz;Sabine Altorfer;3;Undirected;0.0048780487804878049
Adolf Dietrich;Isabelle Vonlanthen;2;Undirected;0.0032520325203252032
Franz Xaver;Ilia Vasella;1;Undirected;0.0016260162601626016
Andrea Stalder Projektkandidat;Claude Debussy;1;Undirected;0.0016260162601626016
Johns Sarastro Fdb;Kunstraums Kreuzlingen Richard Tisserand;1;Undirected;0.0016260162601626016
Andrea Stalder Projektkandidat;Kunstvermittlerin Christine Stalder;1;Undirected;0.0016260162601626016
Kim Kardashians;Nobel Peter;1;Undirected;0.0016260162601626016
Ibrahim Ali Dabaiba;Yusef Ibrahim Dabaiba;1;Undirected;0.0016260162601626016
Fukushima Daiichi;Peter Roth;1;Undirected;0.0016260162601626016
Ali Ibrahim Dabaiba;Mohamed Younes Menfi;1;Undirected;0.0016260162601626016
Politaktivist Hans;Reynaldo Hahn;1;Undirected;0.0016260162601626016
Gianfranco Fdb;Stefan Wagner;1;Undirected;0.0016260162601626016
Annina Haab;Beatproduzent Johns Sarastro;1;Undirected;0.0016260162601626016
Claude Debussy;Pascal Leuthold;1;Undirected;0.0016260162601626016
Dominic Nahr;Stefan Altenburger;1;Undirected;0.0016260162601626016
Pascal Leuthold;Thurgau Violonistin;1;Undirected;0.0016260162601626016
Andrin Uetz;Rudolf Lutz;1;Undirected;0.0016260162601626016
Louis Girardelli;Nbg Ragaz;1;Undirected;0.0016260162601626016
Reynaldo Hahn;Willi Toblers;1;Undirected;0.0016260162601626016
Shea Owens;Willi Toblers;1;Undirected;0.0016260162601626016
Isabelle Vonlanthen;Kim Kardashians;1;Undirected;0.0016260162601626016
Al Jouili;Stephanie Williams;1;Undirected;0.0016260162601626016
Isabelle Vonlanthen;Thomas Studer;1;Undirected;0.0016260162601626016
Thomas Studer;Ueli Maurer;1;Undirected;0.0016260162601626016
Franz Xaver;Kunstvermittlerin Christine Stalder;1;Undirected;0.0016260162601626016
Claude Debussy;Marie Lois;1;Undirected;0.0016260162601626016
John Sarastro;Louis Girardelli;1;Undirected;0.0016260162601626016
Adolf Dietrich;Annina Haab;1;Undirected;0.0016260162601626016
Alain Berset;Andrin Uetz;1;Undirected;0.0016260162601626016
Mohamed Younes Menfi;Yusef Ibrahim Dabaiba;1;Undirected;0.0016260162601626016
Adrian Bleisch;Tobias Garcia;1;Undirected;0.0016260162601626016
Annina Haab;Thomas Studer;1;Undirected;0.0016260162601626016
Abdul Hamid Dabeiba;Stephanie Williams;1;Undirected;0.0016260162601626016
Annina Haab;Sophia Hamann;1;Undirected;0.0016260162601626016
Kim Kardashians;Roland Schmid;1;Undirected;0.0016260162601626016
Marie Lois;Thurgau Violonistin;1;Undirected;0.0016260162601626016
Lika Jungautorin Luna Levey;Skulpturenausstellung Ottmar;1;Undirected;0.0016260162601626016
Adrian Bleisch;Literaturhauses Zurich;1;Undirected;0.0016260162601626016
Pascal Leuthold;Reynaldo Hahn;1;Undirected;0.0016260162601626016
Gianfranco Fdb;Tobias Garcia;1;Undirected;0.0016260162601626016
George Friedrich Handel;Katja Schenker;1;Undirected;0.0016260162601626016
Kunstvermittlerin Christine Stalder;Pascal Leuthold;1;Undirected;0.0016260162601626016
Josef Manser;Kunstvermittlerin Susanne;1;Undirected;0.0016260162601626016
Rudolf Lutz;Yulia Kubik Hans;1;Undirected;0.0016260162601626016
Ilia Vasella;Luna Levay;1;Undirected;0.0016260162601626016
Kriegsfotograf Dominic Nahr;Kunstvermittlerin Susanne;1;Undirected;0.0016260162601626016
Isabelle Vonlanthen;Thurgau Violonistin;1;Undirected;0.0016260162601626016
Beatproduzent Johns Sarastro;Kunstraums Kreuzlingen Richard Tisserand;1;Undirected;0.0016260162601626016
Rudolf Lutz;Thurgau Violonistin;1;Undirected;0.0016260162601626016
Ilia Vasella;Sophia Hamann;1;Undirected;0.0016260162601626016
Andrin Uetz;Claude Debussy;1;Undirected;0.0016260162601626016
Andrin Uetz;Literaturhauses Zurich;1;Undirected;0.0016260162601626016
Dominic Nahr;Skulpturenausstellung Ottmar;1;Undirected;0.0016260162601626016
Louis Girardelli;Tobias Garcia;1;Undirected;0.0016260162601626016
Adolf Dietrichs;Rudolf Lutz;1;Undirected;0.0016260162601626016
Ausnahmesportlerssimon Ammann;Nachwuchsautorin Luna Levay;1;Undirected;0.0016260162601626016
Adolf Dietrichs;Josef Manser;1;Undirected;0.0016260162601626016
Kim Kardashians;Kunstvermittlerin Christine Stalder;1;Undirected;0.0016260162601626016
Blair Alain;Stephanie Williams;1;Undirected;0.0016260162601626016
Ausnahmesportlerssimon Ammann;Lika Jungautorin Luna Levey;1;Undirected;0.0016260162601626016
Augustin Jagg;Yulia Kubik Hans;1;Undirected;0.0016260162601626016
Blair Alain;Mustafa Abuschagur;1;Undirected;0.0016260162601626016
Louis Girardelli;Marie Lois;1;Undirected;0.0016260162601626016
Gianfranco Fdb;Rudolf Lutz;1;Undirected;0.0016260162601626016
Youtube Berman;Yulia Kubik Hans;1;Undirected;0.0016260162601626016
Jennifer Panara;Miho Tanaka;1;Undirected;0.0016260162601626016
Luna Levay;Sophia Hamann;1;Undirected;0.0016260162601626016
Andrin Uetz;Limmat Verlag;1;Undirected;0.0016260162601626016
Augustin Jagg;Christoph Keller;1;Undirected;0.0016260162601626016
Andrea Stalder Projektkandidat;Beatproduzent Johns Sarastro;1;Undirected;0.0016260162601626016
Johns Sarastro Fdb;Kriegsfotograf Dominic Nahr;1;Undirected;0.0016260162601626016
Nik Kevin Koch;Shea Owens;1;Undirected;0.0016260162601626016
Gianfranco Fdb;Thomas Studer;1;Undirected;0.0016260162601626016
Shea Owens;Youtube Berman;1;Undirected;0.0016260162601626016
Beatproduzent Johns Sarastro;Nbg Ragaz;1;Undirected;0.0016260162601626016
Jungautorin Luna Levey;Kim Kardashians;1;Undirected;0.0016260162601626016
Fukushima Daiichi;Louis Girardelli;1;Undirected;0.0016260162601626016
Josef Manser;Nik Kevin Koch;1;Undirected;0.0016260162601626016
Rusch Rusch;Youtube Berman;1;Undirected;0.0016260162601626016
Fukushima Daiichi;Skulpturenausstellung Ottmar;1;Undirected;0.0016260162601626016
