Source;Target;RawCount;Type;Weight
Heiko Maas;Toshimitsu Motegi;36;Undirected;0.044444444444444446
Christopher Moller;Heike Behrend;10;Undirected;0.012345679012345678
Geneva Schreibatelier;Normand Patrice;5;Undirected;0.0061728395061728392
Geneva Starautors;Hansruedi Kugler;5;Undirected;0.0061728395061728392
Geneva Schreibatelier;Geneva Starautors;5;Undirected;0.0061728395061728392
Geneva Schreibatelier;Hansruedi Kugler;5;Undirected;0.0061728395061728392
Geneva Starautors;Normand Patrice;5;Undirected;0.0061728395061728392
Hansruedi Kugler;Normand Patrice;5;Undirected;0.0061728395061728392
Bannkraft Silvia;Literaturinstituts Biel;4;Undirected;0.0049382716049382715
Literaturinstituts Biel;Yulia Stephan;4;Undirected;0.0049382716049382715
Literaturinstituts Biel;Philipp Schaufelberger;4;Undirected;0.0049382716049382715
Susanne Kronenberg;Tann Norma;4;Undirected;0.0049382716049382715
Literaturinstituts Biel;Luna Wedler;4;Undirected;0.0049382716049382715
Luna Wedler;Max Hubacher;4;Undirected;0.0049382716049382715
Literaturinstituts Biel;Max Hubacher;4;Undirected;0.0049382716049382715
Philipp Schaufelberger;Silvia Tschui;4;Undirected;0.0049382716049382715
Max Hubacher;Yulia Stephan;4;Undirected;0.0049382716049382715
Max Hubacher;Theaterregisseurs Peter;4;Undirected;0.0049382716049382715
Literaturinstituts Biel;Theaterregisseurs Peter;4;Undirected;0.0049382716049382715
Luna Wedler;Silvia Tschui;4;Undirected;0.0049382716049382715
Luna Wedler;Theaterregisseurs Peter;4;Undirected;0.0049382716049382715
Silvia Tschui;Verlegertochter Lilli;4;Undirected;0.0049382716049382715
Ark Verlag;Sylvie Rosokoff;4;Undirected;0.0049382716049382715
Philipp Schaufelberger;Yulia Stephan;4;Undirected;0.0049382716049382715
Max Hubacher;Verlegertochter Lilli;4;Undirected;0.0049382716049382715
Max Hubacher;Silvia Tschui;4;Undirected;0.0049382716049382715
Bannkraft Silvia;Yulia Stephan;4;Undirected;0.0049382716049382715
Theaterregisseurs Peter;Verlegertochter Lilli;4;Undirected;0.0049382716049382715
Bannkraft Silvia;Silvia Tschui;4;Undirected;0.0049382716049382715
Verlegertochter Lilli;Yulia Stephan;4;Undirected;0.0049382716049382715
Bannkraft Silvia;Theaterregisseurs Peter;4;Undirected;0.0049382716049382715
Silvia Tschui;Yulia Stephan;4;Undirected;0.0049382716049382715
Ark Verlag;Hansruedi Kugler;4;Undirected;0.0049382716049382715
Philipp Schaufelberger;Verlegertochter Lilli;4;Undirected;0.0049382716049382715
Bannkraft Silvia;Verlegertochter Lilli;4;Undirected;0.0049382716049382715
Literaturinstituts Biel;Verlegertochter Lilli;4;Undirected;0.0049382716049382715
Hansruedi Kugler;Sylvie Rosokoff;4;Undirected;0.0049382716049382715
Theaterregisseurs Peter;Yulia Stephan;4;Undirected;0.0049382716049382715
Silvia Tschui;Theaterregisseurs Peter;4;Undirected;0.0049382716049382715
Max Hubacher;Philipp Schaufelberger;4;Undirected;0.0049382716049382715
Bannkraft Silvia;Max Hubacher;4;Undirected;0.0049382716049382715
Bannkraft Silvia;Luna Wedler;4;Undirected;0.0049382716049382715
Golden Boy;Oscar Fitzek;4;Undirected;0.0049382716049382715
Literaturinstituts Biel;Silvia Tschui;4;Undirected;0.0049382716049382715
Luna Wedler;Verlegertochter Lilli;4;Undirected;0.0049382716049382715
Bannkraft Silvia;Philipp Schaufelberger;4;Undirected;0.0049382716049382715
Luna Wedler;Philipp Schaufelberger;4;Undirected;0.0049382716049382715
Luna Wedler;Yulia Stephan;4;Undirected;0.0049382716049382715
Philipp Schaufelberger;Theaterregisseurs Peter;4;Undirected;0.0049382716049382715
Ile Royale;Joao Vaz;3;Undirected;0.0037037037037037038
Fingermalereien Soutters;Sabine Altorfer;3;Undirected;0.0037037037037037038
