Source;Target;RawCount;Type;Weight
Cristian Haub;Katrin Haub;39;Undirected;0.0084069842638499672
Carol Schuler;Tessa Ott;21;Undirected;0.004526837680534598
Annan Pieri Zuercher;Carol Schuler;21;Undirected;0.004526837680534598
Annan Pieri Zuercher;Tessa Ott;21;Undirected;0.004526837680534598
Mikhail Lauber;Stefan Keller;20;Undirected;0.0043112739814615223
Henry Habegger;Mikhail Lauber;18;Undirected;0.0038801465833153696
Benjamin Weinmann;Gaetan Bally;17;Undirected;0.0036645828842422935
Bethany Moers;Maria Munoz;17;Undirected;0.0036645828842422935
Bundesrat Berset;Bundesrat Mason;17;Undirected;0.0036645828842422935
Benjamin Weinmann;Cristian Beutler;17;Undirected;0.0036645828842422935
Cristian Haub;Erivan Haub;16;Undirected;0.0034490191851692174
Maria Munoz;Thuringia Saale-Orla-Kreis;16;Undirected;0.0034490191851692174
Bethany Moers;Thuringia Saale-Orla-Kreis;16;Undirected;0.0034490191851692174
Bundesratssprecher Simonazzi;Christoph Lenz Christoph Lenz;16;Undirected;0.0034490191851692174
Bundesrat Maurer;Bundesrat Ueli Maurer;15;Undirected;0.0032334554860961413
Erivan Haub;Katrin Haub;15;Undirected;0.0032334554860961413
Michelle Gisin;Mikaela Shiffrin;15;Undirected;0.0032334554860961413
Alice Weidel;Frauke Petry;15;Undirected;0.0032334554860961413
Canton Solothurn;Remo Ankli;14;Undirected;0.0030178917870230652
Gianni Infantino;Stefan Keller;14;Undirected;0.0030178917870230652
Canton Zurich;Josef Widler;13;Undirected;0.0028023280879499891
Bezirk Munchwilen;Donato S Thurgau;13;Undirected;0.0028023280879499891
Kristian Kapp;Zsc Lions;13;Undirected;0.0028023280879499891
Henry Habegger;Stefan Keller;13;Undirected;0.0028023280879499891
Antonio Marchesano;Blaz Kramer;12;Undirected;0.002586764388876913
Alexis Pinturault;Tommy Ford;12;Undirected;0.002586764388876913
Gianni Infantino;Mikhail Lauber;12;Undirected;0.002586764388876913
Corinne Suter;Michelle Gisin;12;Undirected;0.002586764388876913
Lions Zsc;Zsc Lions;12;Undirected;0.002586764388876913
Andreas Homoki;Operndirektor Mikhail;12;Undirected;0.002586764388876913
Bjrn Hcke;Maria Munoz;12;Undirected;0.002586764388876913
Bjrn Hcke;Thuringia Saale-Orla-Kreis;12;Undirected;0.002586764388876913
Andreas Homoki;Cristian Berzins;12;Undirected;0.002586764388876913
Bezirk Munchwilen;Bundesrat Berset;12;Undirected;0.002586764388876913
Herbert Karajan;Only Child;12;Undirected;0.002586764388876913
Bundesrat Berset;Donato S Thurgau;12;Undirected;0.002586764388876913
Bethany Moers;Bjrn Hcke;12;Undirected;0.002586764388876913
Bayer Leverkusen;Niklas Lomb;12;Undirected;0.002586764388876913
Cristian Berzins;Operndirektor Mikhail;12;Undirected;0.002586764388876913
Katrin Haub;Mark Binz;11;Undirected;0.0023712006898038368
Laura Meyer;Thomas Stirnimann;11;Undirected;0.0023712006898038368
A Jew Hedwig;Dietrich Schwanitz;11;Undirected;0.0023712006898038368
Cristian Berzins;Tonhalle Maag;11;Undirected;0.0023712006898038368
Gmuender Brown;Silvan Silvan;11;Undirected;0.0023712006898038368
Cristian Berzins;Martha Argerich;11;Undirected;0.0023712006898038368
Erivan Haub;Peter Gauweiler;11;Undirected;0.0023712006898038368
Kristian Kapp;Pascal Berger;11;Undirected;0.0023712006898038368
Justin Abdelkader;Lino Martschini;11;Undirected;0.0023712006898038368
Mark Binz;Peter Gauweiler;11;Undirected;0.0023712006898038368
Martha Argerich;Tonhalle Maag;11;Undirected;0.0023712006898038368
Roland Kunz;Severin Bigler;11;Undirected;0.0023712006898038368
Erivan Haub;Mark Binz;11;Undirected;0.0023712006898038368
Mikaela Shiffrin;Petra Vlhova;11;Undirected;0.0023712006898038368
Richard Engler;Richard Englers Gastrag;11;Undirected;0.0023712006898038368
Markus Diem Meier;Thomas Jordan;11;Undirected;0.0023712006898038368
Katrin Haub;Peter Gauweiler;11;Undirected;0.0023712006898038368
Cristian Haub;Peter Gauweiler;11;Undirected;0.0023712006898038368
Richard Englers Gastrag;Rudi Bindella;11;Undirected;0.0023712006898038368
Cristian Haub;Mark Binz;11;Undirected;0.0023712006898038368
Richard Engler;Rudi Bindella;11;Undirected;0.0023712006898038368
Andrea Caroni;Thierry Burkart;11;Undirected;0.0023712006898038368
Mister Wong;Richard Engler;11;Undirected;0.0023712006898038368
Canton Thurgau;Eurofor Thurgau;11;Undirected;0.0023712006898038368
Claudio Gregorio;Theodor Ziegler;11;Undirected;0.0023712006898038368
