Source;Target;RawCount;Type;Weight
Influencerin Morena Diaz;Morena Diaz;3;Undirected;0.023076923076923078
Stefanie Giesing;Stefanie Giesing Stefanie Giesing;3;Undirected;0.023076923076923078
Julian Wood;S Julian Wood;2;Undirected;0.015384615384615385
Los Angeles;Sophia Thiel;2;Undirected;0.015384615384615385
Influencerin Rodrigues;Thiago Nigro;2;Undirected;0.015384615384615385
Burgerbrater Mcdonald;Lois Molling;1;Undirected;0.007692307692307693
Farina Opuko;Influencerin Negin Mirsalehi;1;Undirected;0.007692307692307693
Bildernetzwerk Instagram;Levin Vostell;1;Undirected;0.007692307692307693
Elizabeth Hurley;Kate Middleton;1;Undirected;0.007692307692307693
Laura Wontorra;Payton Ramolla;1;Undirected;0.007692307692307693
Claudio Rathlef;Coco Malou;1;Undirected;0.007692307692307693
Stiftung Warentest;Sylvie Meis;1;Undirected;0.007692307692307693
Austin Evans;Justine Ezarik;1;Undirected;0.007692307692307693
Influencerin Melina Sophie;Instagram Melina;1;Undirected;0.007692307692307693
Oliver Pocher;Sam Dylan;1;Undirected;0.007692307692307693
Influencerin Rodrigues;Youtuber Arcuri;1;Undirected;0.007692307692307693
Justine Ezarik;Lewis Hilsenteger;1;Undirected;0.007692307692307693
Influencerin Morena Diaz;Silvana Barker;1;Undirected;0.007692307692307693
Influencerin Louisa Dellert;Stefanie Giesing;1;Undirected;0.007692307692307693
Influencerin Morena Diaz;Morena Diaz Morena Diaz;1;Undirected;0.007692307692307693
Thiago Nigro;Welle Cris;1;Undirected;0.007692307692307693
Thiago Nigro;Youtuber Arcuri;1;Undirected;0.007692307692307693
Influencerin Francesca;Thomas Sabo;1;Undirected;0.007692307692307693
Claudio Rathlef;Corinna Borucki;1;Undirected;0.007692307692307693
Basel Influencerin Morena Diaz;Morena Diaz;1;Undirected;0.007692307692307693
Andreas Maurer;Morena Diaz Morena Diaz;1;Undirected;0.007692307692307693
Constantin Schiller;Microinfluencer Nischenfirmen;1;Undirected;0.007692307692307693
Dave Lee;Lewis Hilsenteger;1;Undirected;0.007692307692307693
Mady Morrison;Zvg Klara Hilpert;1;Undirected;0.007692307692307693
Influencerin Laura;Laura Marias;1;Undirected;0.007692307692307693
Cheyann Shaw;Kelly Rowland;1;Undirected;0.007692307692307693
Thiago Nigro;Thiagro Nigro Youtuber Arcuri;1;Undirected;0.007692307692307693
Oliver Pocher Amira Aly;Sportmoderator Elmar Paulke;1;Undirected;0.007692307692307693
Justine Ezarik;Marques Brownlee;1;Undirected;0.007692307692307693
Corinna Borucki;Microinfluencer Nischenfirmen;1;Undirected;0.007692307692307693
Levin Vostell;Skinfluencerin Elina Dietrich;1;Undirected;0.007692307692307693
Influencerin Louisa Dellert;Louisa Dellert;1;Undirected;0.007692307692307693
Payton Ramolla;Sam Dylan;1;Undirected;0.007692307692307693
Levin Vostell;Stiftung Warentest;1;Undirected;0.007692307692307693
Jamaruli Manihuruk;Kosenko Taos;1;Undirected;0.007692307692307693
Influencerin Laura;Pietro Lombard;1;Undirected;0.007692307692307693
Laura Dajana;Laura Kroschewski;1;Undirected;0.007692307692307693
Dave Lee;Justine Ezarik;1;Undirected;0.007692307692307693
Influencerin Negin Mirsalehi;Leonie Hanne;1;Undirected;0.007692307692307693
Robert Habeck;Stefanie Giesing;1;Undirected;0.007692307692307693
Kosenko Taos;Serguei Kosenko;1;Undirected;0.007692307692307693
Claudio Rathlef;Microinfluencer Nischenfirmen;1;Undirected;0.007692307692307693
Laura Wontorra;Oliver Pocher;1;Undirected;0.007692307692307693
Contentfleet Sophia Thiel;Los Angeles;1;Undirected;0.007692307692307693
Morena Diaz;Morena Diaz Morena Diaz;1;Undirected;0.007692307692307693
Bildernetzwerk Instagram;Stiftung Warentest;1;Undirected;0.007692307692307693
Andreas Maurer;Influencerin Morena Diaz;1;Undirected;0.007692307692307693
Annan Sophie;Robert Habeck;1;Undirected;0.007692307692307693
Madeline Alizadeh;Stefanie Giesing;1;Undirected;0.007692307692307693
Madeline Alizadeh;Robert Habeck;1;Undirected;0.007692307692307693
Bettina Proske;Mathieu Carrire;1;Undirected;0.007692307692307693
Sinojapanese Influencerin;Sinojapanese Influencerin Azusaga Kuyuki;1;Undirected;0.007692307692307693
Constantin Schiller;Corinna Borucki;1;Undirected;0.007692307692307693
Thomas Kehl;Youtuber Kehl;1;Undirected;0.007692307692307693
Basel Influencerin Morena Diaz;Influencerin Morena Diaz;1;Undirected;0.007692307692307693
Justine Ezarik;Youtuber Marques Brownlee;1;Undirected;0.007692307692307693
Contentfleet Sophia Thiel;Sophia Thiel;1;Undirected;0.007692307692307693
Influencerin Payton;Payton Ramolla;1;Undirected;0.007692307692307693
Alexis Sharkey;Influencerin Alexis Sharkey;1;Undirected;0.007692307692307693
Oliver Pocher;Sportmoderator Elmar Paulke;1;Undirected;0.007692307692307693
Influencerin Rodrigues;Welle Cris;1;Undirected;0.007692307692307693
Annan Sophie;Louisa Dellert;1;Undirected;0.007692307692307693
Coco Malou;Corinna Borucki;1;Undirected;0.007692307692307693
Weihnachtenschwangere Influencerin;Zmorge Influencerin;1;Undirected;0.007692307692307693
Cepol Mikhail Nelson;Dagner Rojas;1;Undirected;0.007692307692307693
Jamaruli Manihuruk;Serguei Kosenko;1;Undirected;0.007692307692307693
Dave Lee;Youtuber Marques Brownlee;1;Undirected;0.007692307692307693
Influencerin Louisa Dellert;Madeline Alizadeh;1;Undirected;0.007692307692307693
Brittany Johnson;Jack Russell;1;Undirected;0.007692307692307693
Quirin Hasler;Valais Catherine;1;Undirected;0.007692307692307693
Austin Evans;Lewis Hilsenteger;1;Undirected;0.007692307692307693
Morena Diaz;Silvana Barker;1;Undirected;0.007692307692307693
Bildernetzwerk Instagram;Skinfluencerin Elina Dietrich;1;Undirected;0.007692307692307693
Coco Malou;Microinfluencer Nischenfirmen;1;Undirected;0.007692307692307693
Marques Brownlee;Youtuber Marques Brownlee;1;Undirected;0.007692307692307693
Fitnessinfluencerin Sophia Thiel;Los Angeles;1;Undirected;0.007692307692307693
Influencerin Payton;Oliver Pocher;1;Undirected;0.007692307692307693
Skinfluencerin Elina Dietrich;Stiftung Warentest;1;Undirected;0.007692307692307693
Klara Hilpert;Zvg Klara Hilpert;1;Undirected;0.007692307692307693
Annan Sophie;Influencerin Louisa Dellert;1;Undirected;0.007692307692307693
Cappato Lombard Instagram;Pietro Lombardis;1;Undirected;0.007692307692307693
Influencerin Rodrigues;Thiagro Nigro Youtuber Arcuri;1;Undirected;0.007692307692307693
Weihnachtenschwangere Influencerin;Yasmin Rosner;1;Undirected;0.007692307692307693
Influencerin Payton;Laura Wontorra;1;Undirected;0.007692307692307693
Dagner Rojas;Elizabeth Hurley;1;Undirected;0.007692307692307693
Yasmin Rosner;Zmorge Influencerin;1;Undirected;0.007692307692307693
Dave Lee;Marques Brownlee;1;Undirected;0.007692307692307693
Influencerin Sarah Lombard;Sarah Lombard;1;Undirected;0.007692307692307693
Klara Hilpert;Mady Morrison;1;Undirected;0.007692307692307693
Coco Malou;Constantin Schiller;1;Undirected;0.007692307692307693
Annan Sophie;Stefanie Giesing;1;Undirected;0.007692307692307693
Welle Cris;Youtuber Arcuri;1;Undirected;0.007692307692307693
Austin Evans;Dave Lee;1;Undirected;0.007692307692307693
Bildernetzwerk Instagram;Sylvie Meis;1;Undirected;0.007692307692307693
