Source;Target;RawCount;Type;Weight
El Gasometro;Pope Francis;5;Undirected;0.032679738562091505
Merkel Notbremseninzidenz;Wilhelm Schmid;2;Undirected;0.013071895424836602
El Gasometro;Melanie Brinkmann;2;Undirected;0.013071895424836602
Dantse Dantse;Isaac Newton;2;Undirected;0.013071895424836602
Dietmar Woidke;Wilhelm Schmid;2;Undirected;0.013071895424836602
Merkel Notbremseninzidenz;Sasha Lobo;2;Undirected;0.013071895424836602
Hesse Volker Bouffier;Karl Lauterbach;2;Undirected;0.013071895424836602
Dietmar Woidke;Hesse Volker Bouffier;2;Undirected;0.013071895424836602
Dietmar Woidke;Sasha Lobo;2;Undirected;0.013071895424836602
Sasha Lobo;Wilhelm Schmid;2;Undirected;0.013071895424836602
Hesse Volker Bouffier;Sasha Lobo;2;Undirected;0.013071895424836602
Karl Lauterbach;Matthew Sharpe;2;Undirected;0.013071895424836602
Epiktet Marcus Aurelius;Wilhelm Schmid;2;Undirected;0.013071895424836602
Epiktet Marcus Aurelius;Karl Lauterbach;2;Undirected;0.013071895424836602
Dantse Dantse;Worldcom Verlag;2;Undirected;0.013071895424836602
Dietmar Woidke;Merkel Notbremseninzidenz;2;Undirected;0.013071895424836602
Hesse Volker Bouffier;Melanie Brinkmann;2;Undirected;0.013071895424836602
Hesse Volker Bouffier;Matthew Sharpe;2;Undirected;0.013071895424836602
Matthew Sharpe;Wilhelm Schmid;2;Undirected;0.013071895424836602
Dantse Danstes;Dantse Dantse;2;Undirected;0.013071895424836602
Dietmar Woidke;Matthew Sharpe;2;Undirected;0.013071895424836602
Melanie Brinkmann;Merkel Notbremseninzidenz;2;Undirected;0.013071895424836602
Isaac Newton;Worldcom Verlag;2;Undirected;0.013071895424836602
Dietmar Woidke;Karl Lauterbach;2;Undirected;0.013071895424836602
Karl Lauterbach;Wilhelm Schmid;2;Undirected;0.013071895424836602
Melanie Brinkmann;Wilhelm Schmid;2;Undirected;0.013071895424836602
Hesse Volker Bouffier;Merkel Notbremseninzidenz;2;Undirected;0.013071895424836602
Dantse Danstes;Isaac Newton;2;Undirected;0.013071895424836602
Matthew Sharpe;Sasha Lobo;2;Undirected;0.013071895424836602
Dantse Danstes;Worldcom Verlag;2;Undirected;0.013071895424836602
