Source,Target,RawCount,Type,Weight
Angela Merkel,Jens Spahn,244,Undirected,0.010515428374418203
Jens Spahn,Karl Lauterbach,218,Undirected,0.0093949319082916732
Jens Spahn,Merkel Angela Merkel,211,Undirected,0.00909325978279607
Jens Spahn,Olaf Scholz,208,Undirected,0.0089639717290122389
Angela Merkel,Karl Lauterbach,176,Undirected,0.0075848991553180483
Angela Merkel,Merkel Angela Merkel,165,Undirected,0.0071108429581106707
Angela Merkel,Olaf Scholz,151,Undirected,0.0065074987071194624
Merkel Angela Merkel,Olaf Scholz,149,Undirected,0.006421306671263575
Boris Johnson,Jens Spahn,143,Undirected,0.0061627305636959145
Karl Lauterbach,Olaf Scholz,142,Undirected,0.0061196345457679713
Jens Spahn,Peter Altmaier,139,Undirected,0.0059903464919841406
Angela Merkel,Peter Altmaier,133,Undirected,0.00573177038441648
Karl Lauterbach,Merkel Angela Merkel,132,Undirected,0.005688674366488536
Gerhard Bereswill,Theo Charis,118,Undirected,0.0050853301154973277
S Braunschweig Brinkmann,Theo Charis,118,Undirected,0.0050853301154973277
Jens Spahn,Tedros Adhanom Ghebreyesus,118,Undirected,0.0050853301154973277
Gerhard Bereswill,S Braunschweig Brinkmann,118,Undirected,0.0050853301154973277
Jens Spahn,Mikhail Kretschmer,115,Undirected,0.0049560420617134979
Merkel Angela Merkel,Peter Altmaier,112,Undirected,0.0048267540079296673
Angela Merkel,Boris Johnson,108,Undirected,0.0046543699362178934
Bundesrat Berset,Canton Schaffhausen,107,Undirected,0.00461127391828995
Michl Mayr,Theo Charis,104,Undirected,0.0044819858645061194
Boris Johnson,Olaf Scholz,104,Undirected,0.0044819858645061194
Michl Mayr,S Braunschweig Brinkmann,104,Undirected,0.0044819858645061194
Gerhard Bereswill,Michl Mayr,104,Undirected,0.0044819858645061194
Olaf Scholz,Peter Altmaier,102,Undirected,0.0043957938286502329
Jens Spahn,Klaus Holetschek,99,Undirected,0.0042665057748664022
Merkel Angela Merkel,Mikhail Kretschmer,96,Undirected,0.0041372177210825716
Angela Merkel,Mikhail Kretschmer,96,Undirected,0.0041372177210825716
Boris Johnson,Karl Lauterbach,95,Undirected,0.0040941217031546283
