Source,Target,RawCount,Type,Weight
Ludwig Hasler,Ludwig Hasler Ludwig Hasler,15,Undirected,0.026455026455026454
Adolf Muschg,Friedrich Duerrenmatt,11,Undirected,0.019400352733686066
Adolf Muschg,Literaturchefin Nora Zukker,9,Undirected,0.015873015873015872
Ludwig Hasler,Samantha Zaugg,8,Undirected,0.014109347442680775
Adolf Muschg,Ausserrhoden Andrea Caroni,8,Undirected,0.014109347442680775
Adolf Muschg,States Caroni,7,Undirected,0.012345679012345678
Friedrich Duerrenmatt,States Caroni,7,Undirected,0.012345679012345678
Miriam Meckel Miriam Meckel,Walter Benjamin,6,Undirected,0.010582010582010581
Jeremy Rifkin,Tagblatt Miriam Meckel,6,Undirected,0.010582010582010581
Jack Dorsey,Walter Benjamin,6,Undirected,0.010582010582010581
Jack Dorsey,Jeremy Rifkin,6,Undirected,0.010582010582010581
Jack Dorsey,Miriam Meckel,6,Undirected,0.010582010582010581
Jeremy Rifkin,Miriam Meckel Miriam Meckel,6,Undirected,0.010582010582010581
Miriam Meckel,Walter Benjamin,6,Undirected,0.010582010582010581
Jeremy Rifkin,Miriam Meckel,6,Undirected,0.010582010582010581
Tagblatt Miriam Meckel,Walter Benjamin,6,Undirected,0.010582010582010581
Miriam Meckel,Tagblatt Miriam Meckel,6,Undirected,0.010582010582010581
Jack Dorsey,Miriam Meckel Miriam Meckel,6,Undirected,0.010582010582010581
Miriam Meckel Miriam Meckel,Tagblatt Miriam Meckel,6,Undirected,0.010582010582010581
Miriam Meckel,Miriam Meckel Miriam Meckel,6,Undirected,0.010582010582010581
Samantha Zaugg,Samantha Zaugg Samantha Zaugg,6,Undirected,0.010582010582010581
Jeremy Rifkin,Walter Benjamin,6,Undirected,0.010582010582010581
Ludwig Hasler,Samantha Zaugg Samantha Zaugg,6,Undirected,0.010582010582010581
Jack Dorsey,Tagblatt Miriam Meckel,6,Undirected,0.010582010582010581
Bernhard Russi,Zugerischen Baar,5,Undirected,0.0088183421516754845
Adolf Eichmann,Adolf Muschg,5,Undirected,0.0088183421516754845
Rolf Dobelli,Zugerischen Baar,5,Undirected,0.0088183421516754845
Barbara Bleisch,Barbara Bleischden,5,Undirected,0.0088183421516754845
Ivan Wirth,Rolf Dobelli,5,Undirected,0.0088183421516754845
Bernhard Russi,Ivan Wirth,5,Undirected,0.0088183421516754845
Dieter Meier,Rolf Dobelli,5,Undirected,0.0088183421516754845
Bernhard Russi,Rolf Dobelli,5,Undirected,0.0088183421516754845
Dieter Meier,Ivan Wirth,5,Undirected,0.0088183421516754845
Dieter Meier,Zugerischen Baar,5,Undirected,0.0088183421516754845
Bernhard Russi,Dieter Meier,5,Undirected,0.0088183421516754845
Ivan Wirth,Zugerischen Baar,5,Undirected,0.0088183421516754845
Adolf Muschg,Luke Brfuss,3,Undirected,0.0052910052910052907
Friedrich Duerrenmatt,Luke Brfuss,3,Undirected,0.0052910052910052907
Peter Bichsel,Timmermahnder Mann,3,Undirected,0.0052910052910052907
Elvis Presley King,Stephen Mawdsley,2,Undirected,0.0035273368606701938
Elvis Presley King,Leone Baumgartner,2,Undirected,0.0035273368606701938
Elvis Presley,Lara Stoll,2,Undirected,0.0035273368606701938
Elvis Impfshow,Stephen Mawdsley,2,Undirected,0.0035273368606701938
Andy Jllien,Peter Bichsel,2,Undirected,0.0035273368606701938
Elvis Impfshow,Milena Moser,2,Undirected,0.0035273368606701938
Elvis Presley,Patti Basel,2,Undirected,0.0035273368606701938
Leone Baumgartner,Milena Moser,2,Undirected,0.0035273368606701938
Elvis Presley,Milena Moser,2,Undirected,0.0035273368606701938
A Verhaltenskodex Elvis Presley,Leone Baumgartner,2,Undirected,0.0035273368606701938
Ed Sullivan,Elvis Impfshow,2,Undirected,0.0035273368606701938
Lara Stoll,Patti Basel,2,Undirected,0.0035273368606701938
Ed Sullivan,Elvis Presley,2,Undirected,0.0035273368606701938
Leone Baumgartner,Stephen Mawdsley,2,Undirected,0.0035273368606701938
A Verhaltenskodex Elvis Presley,Lara Stoll,2,Undirected,0.0035273368606701938
Christoph Bopp,Ludwig Hasler,2,Undirected,0.0035273368606701938
Andy Jllien,Jack Kerouac,2,Undirected,0.0035273368606701938
A Verhaltenskodex Elvis Presley,Milena Moser,2,Undirected,0.0035273368606701938
Barbara Bleisch,Tom Shakespeare,2,Undirected,0.0035273368606701938
A Verhaltenskodex Elvis Presley,Stephen Mawdsley,2,Undirected,0.0035273368606701938
A Verhaltenskodex Elvis Presley,Petra Volpe,2,Undirected,0.0035273368606701938
Ed Sullivan,Lara Stoll,2,Undirected,0.0035273368606701938
Elvis Presley,Petra Volpe,2,Undirected,0.0035273368606701938
Jack Kerouac,Peter Bichsel,2,Undirected,0.0035273368606701938
A Verhaltenskodex Elvis Presley,Elvis Impfshow,2,Undirected,0.0035273368606701938
Ed Sullivan,Milena Moser,2,Undirected,0.0035273368606701938
A Verhaltenskodex Elvis Presley,Elvis Presley King,2,Undirected,0.0035273368606701938
Elvis Presley,Elvis Presley King,2,Undirected,0.0035273368606701938
Elvis Presley King,Milena Moser,2,Undirected,0.0035273368606701938
A Verhaltenskodex Elvis Presley,Ed Sullivan,2,Undirected,0.0035273368606701938
A Verhaltenskodex Elvis Presley,Patti Basel,2,Undirected,0.0035273368606701938
Elvis Impfshow,Leone Baumgartner,2,Undirected,0.0035273368606701938
Elvis Impfshow,Elvis Presley,2,Undirected,0.0035273368606701938
Ed Sullivan,Patti Basel,2,Undirected,0.0035273368606701938
Elvis Impfshow,Petra Volpe,2,Undirected,0.0035273368606701938
Patti Basel,Petra Volpe,2,Undirected,0.0035273368606701938
Jack Kerouac,Timmermahnder Mann,2,Undirected,0.0035273368606701938
Lara Stoll,Petra Volpe,2,Undirected,0.0035273368606701938
Lara Stoll,Stephen Mawdsley,2,Undirected,0.0035273368606701938
Samantha Zaugg,Ueli Maurer,2,Undirected,0.0035273368606701938
Elvis Presley King,Lara Stoll,2,Undirected,0.0035273368606701938
Barbara Bleisch,Robert Habeck,2,Undirected,0.0035273368606701938
Petra Volpe,Stephen Mawdsley,2,Undirected,0.0035273368606701938
Lara Stoll,Leone Baumgartner,2,Undirected,0.0035273368606701938
Lara Stoll,Milena Moser,2,Undirected,0.0035273368606701938
Corona Freiheitsverzicht,Ludwig Hasler,2,Undirected,0.0035273368606701938
Ed Sullivan,Petra Volpe,2,Undirected,0.0035273368606701938
Leone Baumgartner,Petra Volpe,2,Undirected,0.0035273368606701938
Elvis Presley,Stephen Mawdsley,2,Undirected,0.0035273368606701938
Milena Moser,Patti Basel,2,Undirected,0.0035273368606701938
Milena Moser,Petra Volpe,2,Undirected,0.0035273368606701938
Elvis Impfshow,Patti Basel,2,Undirected,0.0035273368606701938
Milena Moser,Stephen Mawdsley,2,Undirected,0.0035273368606701938
Elvis Impfshow,Elvis Presley King,2,Undirected,0.0035273368606701938
Elvis Presley,Leone Baumgartner,2,Undirected,0.0035273368606701938
Ludwig Hasler,Ueli Maurer,2,Undirected,0.0035273368606701938
Ed Sullivan,Elvis Presley King,2,Undirected,0.0035273368606701938
Leone Baumgartner,Patti Basel,2,Undirected,0.0035273368606701938
Elvis Presley King,Petra Volpe,2,Undirected,0.0035273368606701938
Ed Sullivan,Stephen Mawdsley,2,Undirected,0.0035273368606701938
Elvis Presley King,Patti Basel,2,Undirected,0.0035273368606701938
Elvis Impfshow,Lara Stoll,2,Undirected,0.0035273368606701938
Patti Basel,Stephen Mawdsley,2,Undirected,0.0035273368606701938
Peter Bichsels,Peter Handke,2,Undirected,0.0035273368606701938
A Verhaltenskodex Elvis Presley,Elvis Presley,2,Undirected,0.0035273368606701938
Andy Jllien,Timmermahnder Mann,2,Undirected,0.0035273368606701938
Ed Sullivan,Leone Baumgartner,2,Undirected,0.0035273368606701938
Barbara Dennerlein,Peter Bichsel,1,Undirected,0.0017636684303350969
Hannes Gassert,Sabine Monauni,1,Undirected,0.0017636684303350969
Billy Cobham,Rolf Gersbach,1,Undirected,0.0017636684303350969
